Gene,Gene name,TLS23A/AGGGTA,TLS23A/GTTAGG,TLS23B/AGGGTA,TLS23B/GTTAGG,TLS23D/AGGGTA,TLS23D/GTTAGG,TLS23E/AGGGTA,TLS23E/GTTAGG,TLS23F/AGGGTA,TLS23F/GTTAGG
ENSMUSG00000040606.15,Kazn,8,3,6,3,8,2,11,1,11,1
ENSMUSG00000110067.3,6330411D24Rik,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000057637.14,Prdm2,17,5,30,13,12,6,29,8,20,6
ENSMUSG00000028583.15,Pdpn,8,0,19,4,9,0,13,0,8,0
ENSMUSG00000046862.15,Pramel12,1,0,4,1,3,1,2,2,6,0
ENSMUSG00000070610.5,Gm13127,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000078504.3,Aadacl4fm5,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000066026.15,Dhrs3,11,3,9,1,12,1,19,4,8,9
ENSMUSG00000020220.17,Vps13d,48,19,48,22,33,9,51,14,40,3
ENSMUSG00000093975.2,Vmn2r-ps19,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000078495.11,Zfp984,1,0,0,1,1,0,0,0,0,0
ENSMUSG00000059423.14,Zfp933,2,2,6,2,1,0,1,0,1,0
ENSMUSG00000029022.19,Miip,1,1,1,0,0,0,0,1,1,0
ENSMUSG00000029020.14,Mfn2,35,13,37,21,28,8,49,14,38,5
ENSMUSG00000019055.16,Plod1,5,0,2,1,3,1,4,0,4,1
ENSMUSG00000044496.7,2510039O18Rik,5,0,2,4,6,0,7,1,2,0
ENSMUSG00000086806.2,Gm13054,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000029016.14,Clcn6,27,9,33,17,24,6,37,11,24,3
ENSMUSG00000029009.18,Mthfr,5,3,8,2,1,1,2,2,2,0
ENSMUSG00000029007.9,Agtrap,6,2,3,1,3,2,9,3,4,0
ENSMUSG00000055401.15,Fbxo6,0,1,3,1,3,0,0,0,0,0
ENSMUSG00000029001.16,Fbxo44,6,1,11,4,7,2,10,1,7,0
ENSMUSG00000041556.9,Fbxo2,1,0,0,0,0,1,1,0,2,1
ENSMUSG00000041544.12,Disp3,10,2,2,7,3,3,10,4,8,2
ENSMUSG00000086326.2,Gm13200,0,1,0,0,0,0,1,0,1,0
ENSMUSG00000047719.3,Ubiad1,3,0,2,0,7,1,10,3,3,1
ENSMUSG00000028991.16,Mtor,55,23,45,29,48,14,95,13,53,8
ENSMUSG00000017264.17,Exosc10,2,3,11,3,9,2,11,2,10,2
ENSMUSG00000006442.11,Srm,4,2,5,3,8,3,8,1,2,2
ENSMUSG00000041459.16,Tardbp,17,3,15,9,18,1,17,5,18,3
ENSMUSG00000028977.18,Casz1,32,5,17,12,31,6,40,17,25,11
ENSMUSG00000028975.17,Pex14,8,4,3,3,5,2,12,2,5,3
ENSMUSG00000028974.14,Dffa,6,3,1,1,1,0,3,1,0,0
ENSMUSG00000028961.16,Pgd,7,3,12,9,4,4,11,1,4,0
ENSMUSG00000063077.16,Kif1b,176,50,142,90,163,47,214,54,152,45
ENSMUSG00000028960.21,Ube4b,54,15,42,23,45,10,73,11,38,14
ENSMUSG00000085819.8,Ube4bos1,2,0,3,2,0,0,2,0,0,0
ENSMUSG00000028992.14,Nmnat1,1,1,0,0,0,0,2,1,0,0
ENSMUSG00000028990.14,Lzic,1,1,0,1,2,0,0,0,2,0
ENSMUSG00000028988.14,Ctnnbip1,4,1,3,1,3,0,10,2,6,1
ENSMUSG00000039953.14,Clstn1,244,64,172,86,207,45,304,49,227,49
ENSMUSG00000039936.19,Pik3cd,2,0,0,2,3,1,1,1,0,0
ENSMUSG00000044700.16,Tmem201,15,6,17,10,15,6,21,5,12,3
ENSMUSG00000028982.10,Slc25a33,4,1,4,0,5,1,1,0,2,0
ENSMUSG00000039911.14,Spsb1,1,0,1,1,2,0,0,0,0,0
ENSMUSG00000028980.15,H6pd,2,0,1,1,2,0,4,0,0,0
ENSMUSG00000047875.7,Gpr157,1,0,2,0,2,1,4,0,3,0
ENSMUSG00000063524.14,Eno1,52,18,75,27,49,23,90,15,66,17
ENSMUSG00000039852.18,Rere,72,36,95,54,80,22,122,26,86,17
ENSMUSG00000039838.12,Slc45a1,1,3,3,6,3,1,5,0,6,1
ENSMUSG00000028967.11,Errfi1,10,0,14,4,3,2,7,2,10,1
ENSMUSG00000028964.15,Park7,12,0,6,5,5,1,9,3,14,2
ENSMUSG00000028957.13,Per3,19,1,41,14,14,3,20,4,25,3
ENSMUSG00000028955.4,Vamp3,4,1,6,0,3,2,6,0,3,1
ENSMUSG00000014592.22,Camta1,49,22,51,24,36,13,62,12,41,11
ENSMUSG00000085593.2,4930589P08Rik,1,0,0,0,0,0,1,0,0,1
ENSMUSG00000039768.17,Dnajc11,7,4,5,4,8,1,12,2,4,3
ENSMUSG00000047777.10,Phf13,1,1,1,1,6,1,5,1,2,2
ENSMUSG00000073700.4,Klhl21,0,1,4,1,2,1,4,1,1,1
ENSMUSG00000028952.13,Zbtb48,1,0,0,0,0,0,4,0,2,0
ENSMUSG00000028948.17,Nol9,3,2,3,2,3,1,5,0,2,0
ENSMUSG00000039713.18,Plekhg5,2,2,1,1,8,1,5,1,2,0
ENSMUSG00000028943.19,Espn,9,4,16,7,15,5,13,2,13,3
ENSMUSG00000028937.15,Acot7,15,5,8,14,20,8,21,11,25,7
ENSMUSG00000042804.14,Gpr153,22,7,22,11,26,6,25,12,27,3
ENSMUSG00000039662.17,Icmt,38,13,29,13,31,10,33,10,18,7
ENSMUSG00000058498.13,Rnf207,2,0,0,2,0,1,0,0,1,0
ENSMUSG00000028936.16,Rpl22,2,1,4,0,2,2,5,0,3,0
ENSMUSG00000005045.17,Chd5,35,6,41,17,25,9,51,7,29,7
ENSMUSG00000028931.13,Kcnab2,62,9,54,23,46,19,73,14,48,17
ENSMUSG00000039577.18,Nphp4,7,1,6,3,4,2,6,4,4,2
ENSMUSG00000039546.10,Ajap1,2,1,4,3,0,1,0,1,3,1
ENSMUSG00000039523.17,Cep104,8,4,17,6,13,3,20,3,7,3
ENSMUSG00000029028.15,Lrrc47,3,1,4,3,4,2,15,2,5,2
ENSMUSG00000078350.12,Smim1,3,1,4,2,4,0,4,1,6,1
ENSMUSG00000029029.15,Wrap73,3,1,1,0,3,1,1,1,1,1
ENSMUSG00000029030.15,Tprgl,12,2,10,7,12,0,10,4,4,5
ENSMUSG00000029032.13,Arhgef16,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000039410.17,Prdm16,2,0,1,0,0,0,2,1,0,0
ENSMUSG00000058183.15,Mmel1,2,0,0,0,0,0,1,0,1,0
ENSMUSG00000029059.10,Prxl2b,3,0,1,1,1,1,2,0,0,0
ENSMUSG00000048001.8,Hes5,0,1,0,0,1,1,1,0,1,0
ENSMUSG00000029056.14,Pank4,4,2,6,2,5,1,5,3,2,1
ENSMUSG00000029055.18,Plch2,49,9,29,14,48,10,48,16,34,11
ENSMUSG00000029047.14,Pex10,2,1,3,1,1,0,2,1,1,1
ENSMUSG00000029048.4,Rer1,4,0,2,4,5,1,2,0,5,1
ENSMUSG00000029049.15,Morn1,1,0,1,0,0,0,1,1,1,0
ENSMUSG00000029050.16,Ski,6,7,22,24,23,3,21,2,22,2
ENSMUSG00000073684.14,Faap20,1,0,3,1,3,1,2,0,1,0
ENSMUSG00000029053.17,Prkcz,14,3,4,7,9,3,10,2,7,3
ENSMUSG00000029054.9,Gabrd,1,0,0,0,1,0,3,0,4,0
ENSMUSG00000084803.9,5830444B04Rik,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000029064.16,Gnb1,332,157,179,120,289,118,431,161,263,87
ENSMUSG00000029063.17,Nadk,5,0,3,4,6,0,7,3,8,1
ENSMUSG00000042202.16,Slc35e2,11,2,12,2,7,2,17,1,6,1
ENSMUSG00000029062.15,Cdk11b,12,7,4,2,4,2,7,0,9,0
ENSMUSG00000029060.18,Mib2,6,3,2,3,7,3,9,2,10,1
ENSMUSG00000074738.3,Fndc10,2,3,8,4,6,1,7,0,9,3
ENSMUSG00000029038.10,Ssu72,3,0,4,2,1,0,2,0,2,1
ENSMUSG00000096221.4,1500002C15Rik,0,1,0,0,0,0,0,0,1,0
ENSMUSG00000084845.10,Tmem240,1,1,2,1,2,0,2,0,2,0
ENSMUSG00000029036.19,Atad3a,3,1,1,0,0,0,4,1,2,0
ENSMUSG00000054514.4,Atad3aos,0,1,0,0,0,0,1,0,0,0
ENSMUSG00000042116.4,Vwa1,1,1,2,2,1,0,0,0,1,1
ENSMUSG00000029066.13,Mrpl20,3,0,4,2,3,1,1,1,2,0
ENSMUSG00000029068.17,Ccnl2,4,0,10,6,3,2,6,0,4,1
ENSMUSG00000065990.13,Aurkaip1,1,0,1,0,2,1,7,0,7,1
ENSMUSG00000029070.10,Mxra8,1,0,1,0,0,0,1,0,0,0
ENSMUSG00000029071.17,Dvl1,4,2,6,3,5,1,7,1,4,2
ENSMUSG00000029073.10,Cptp,4,3,1,5,5,2,5,2,4,2
ENSMUSG00000029034.10,Ints11,3,0,3,3,3,0,5,3,3,1
ENSMUSG00000051557.16,Pusl1,1,0,0,0,1,0,2,0,0,0
ENSMUSG00000029033.17,Acap3,21,5,11,8,11,4,26,1,23,5
ENSMUSG00000023286.17,Ube2j2,3,1,3,2,0,0,3,1,1,1
ENSMUSG00000023571.5,C1qtnf12,1,0,1,0,1,0,4,0,1,1
ENSMUSG00000029076.15,Sdf4,16,3,20,8,15,5,31,5,18,1
ENSMUSG00000103183.2,Gm37090,1,0,0,0,1,0,0,0,0,1
ENSMUSG00000059939.14,9430015G10Rik,1,0,2,2,0,1,3,1,3,0
ENSMUSG00000041936.19,Agrn,24,4,24,11,19,2,34,4,30,8
ENSMUSG00000078349.4,AW011738,3,0,4,0,1,0,2,2,1,0
ENSMUSG00000078485.5,Plekhn1,2,1,4,2,0,0,2,1,1,0
ENSMUSG00002076083.1,Klhl17,4,1,5,1,2,3,3,1,1,2
ENSMUSG00000095567.9,Noc2l,4,1,11,2,6,2,8,2,7,0
ENSMUSG00000096351.3,Samd11,17,7,7,2,16,8,24,7,11,3
ENSMUSG00000040274.12,Cdk6,2,0,8,3,9,1,3,1,5,1
ENSMUSG00000058503.12,Fam133b,1,0,4,3,2,2,2,1,1,0
ENSMUSG00000008307.12,1700109H08Rik,1,1,2,0,1,0,0,0,0,0
ENSMUSG00000040302.18,Rbm48,1,0,0,1,0,0,1,1,0,0
ENSMUSG00000005907.15,Pex1,6,2,3,2,3,1,2,0,7,1
ENSMUSG00000104950.2,4833413G10Rik,0,2,2,0,1,0,1,0,0,0
ENSMUSG00000007415.16,Gatad1,6,0,7,3,5,2,12,3,1,0
ENSMUSG00000040351.12,Ankib1,8,2,6,4,3,3,7,3,10,3
ENSMUSG00000105950.2,Gm43679,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000000600.16,Krit1,7,5,17,8,11,3,6,1,8,4
ENSMUSG00000040407.19,Akap9,16,6,13,5,10,5,9,1,7,2
ENSMUSG00000105893.2,Wdr46-ps,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000001467.6,Cyp51,9,1,4,2,6,1,8,0,6,1
ENSMUSG00000028926.16,Cdk14,29,15,33,20,27,9,48,10,30,4
ENSMUSG00000106212.2,Gm43112,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000105062.2,Gm43113,0,1,0,0,0,0,0,0,1,0
ENSMUSG00000105864.2,Gm10484,2,0,1,0,0,0,1,0,0,0
ENSMUSG00000046798.15,Cldn12,8,0,9,2,5,1,14,5,9,2
ENSMUSG00000040464.16,Gtpbp10,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000040473.16,Cfap69,0,1,3,2,0,0,4,0,3,0
ENSMUSG00000015653.14,Steap2,26,6,21,12,14,4,25,7,14,5
ENSMUSG00000015652.10,Steap1,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000100801.2,Gm15459,7,4,11,4,13,5,17,3,18,5
ENSMUSG00000092094.6,Zfp804b,2,0,5,3,2,0,4,0,0,0
ENSMUSG00000105980.2,Gm42597,1,0,1,0,0,1,1,0,0,0
ENSMUSG00000105832.2,Gm43841,1,0,2,0,1,0,0,0,0,0
ENSMUSG00000003161.16,Sri,7,3,7,3,7,1,10,3,8,0
ENSMUSG00000040537.18,Adam22,38,16,49,30,32,11,48,7,25,5
ENSMUSG00000106265.2,Gm42490,1,0,4,1,0,1,1,0,0,0
ENSMUSG00000054099.12,Slc25a40,1,0,3,3,2,0,2,0,2,1
ENSMUSG00000040570.15,Rundc3b,2,4,3,1,3,1,4,1,2,0
ENSMUSG00000040584.9,Abcb1a,1,1,0,1,1,0,0,1,0,0
ENSMUSG00000003623.5,Crot,3,1,13,2,6,1,8,2,9,3
ENSMUSG00000042508.17,Dmtf1,8,6,10,4,6,3,6,2,4,0
ENSMUSG00000079659.6,Tmem243,3,0,5,1,2,0,5,0,2,2
ENSMUSG00000056004.17,Elapor2,5,1,4,2,6,2,3,1,8,1
ENSMUSG00000003974.7,Grm3,2,2,8,1,6,1,4,2,4,0
ENSMUSG00000028883.20,Sema3a,3,0,6,4,1,1,5,1,10,0
ENSMUSG00000105750.2,Gm43130,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000104905.2,Gm43718,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000063531.8,Sema3e,3,2,7,3,3,0,3,0,1,0
ENSMUSG00000061601.16,Pclo,216,57,243,135,130,45,280,67,190,31
ENSMUSG00000106491.2,Gm42446,2,0,3,2,1,0,1,0,0,0
ENSMUSG00000106048.2,Gm42444,1,0,0,2,0,0,1,0,0,0
ENSMUSG00000098233.2,Gm26954,5,0,1,1,1,1,1,2,4,0
ENSMUSG00000105571.2,Gm43662,0,1,0,0,0,0,1,0,0,0
ENSMUSG00000040118.16,Cacna2d1,14,3,21,8,16,5,24,7,23,4
ENSMUSG00000105526.2,Gm43490,1,1,1,0,0,0,0,0,0,0
ENSMUSG00000028780.14,Sema3c,0,1,0,0,0,0,0,1,1,0
ENSMUSG00000002944.16,Cd36,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000057614.7,Gnai1,9,3,8,7,9,5,18,4,8,3
ENSMUSG00000106498.2,Gm43032,1,0,2,0,0,0,0,0,1,0
ENSMUSG00000040003.19,Magi2,24,8,21,12,10,7,20,3,15,4
ENSMUSG00000106204.2,Gm21009,1,0,0,1,1,0,1,0,0,0
ENSMUSG00000106559.2,Gm43680,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000045435.10,Tmem60,1,1,1,3,3,1,1,1,3,0
ENSMUSG00000039968.10,Rsbn1l,1,2,1,4,4,0,5,0,1,1
ENSMUSG00000028771.14,Ptpn12,4,0,8,1,5,0,3,0,3,0
ENSMUSG00000039934.13,Gsap,3,0,11,1,0,1,1,0,2,0
ENSMUSG00000044968.17,Napepld,2,0,3,2,4,2,4,1,3,2
ENSMUSG00000029017.14,Pmpcb,5,3,3,3,6,0,7,2,4,0
ENSMUSG00000029014.15,Dnajc2,1,0,3,0,2,0,1,0,0,0
ENSMUSG00000028932.9,Psmc2,3,2,5,4,6,3,10,1,13,3
ENSMUSG00000042453.15,Reln,117,32,121,44,130,28,158,29,124,24
ENSMUSG00000029012.12,Orc5,3,0,8,6,2,2,1,2,2,1
ENSMUSG00000104913.2,Gm6560,0,1,1,1,3,1,0,0,3,0
ENSMUSG00000105076.2,A930003O13Rik,0,1,1,3,0,0,1,0,0,0
ENSMUSG00000094832.2,Gm21846,1,0,0,1,1,0,0,1,0,0
ENSMUSG00000097207.8,6030443J06Rik,1,0,2,2,0,0,0,0,1,0
ENSMUSG00000105543.2,Gm43169,1,1,0,3,0,0,2,0,1,1
ENSMUSG00000106379.2,Lhfpl3,5,1,4,3,4,2,10,2,4,0
ENSMUSG00000073147.4,5031425E22Rik,3,1,4,0,4,0,2,1,3,0
ENSMUSG00000029004.16,Kmt2e,57,18,82,37,49,13,71,11,46,8
ENSMUSG00000062604.12,Srpk2,29,6,37,21,29,4,28,6,28,8
ENSMUSG00000057541.15,Pus7,1,1,3,0,0,0,0,0,0,0
ENSMUSG00000028999.16,Rint1,2,1,5,3,4,2,7,2,7,0
ENSMUSG00000086697.3,4933427G23Rik,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000028995.15,Fam126a,3,0,2,3,7,2,6,0,5,0
ENSMUSG00000028986.13,Klhl7,8,3,7,4,13,2,8,5,3,0
ENSMUSG00000048439.16,Nupl2,1,0,2,2,1,0,0,0,3,0
ENSMUSG00000038319.15,Kcnh2,19,10,29,11,20,1,38,12,27,1
ENSMUSG00000028973.19,Abcb8,7,1,4,6,2,3,10,5,7,0
ENSMUSG00000028969.11,Cdk5,11,1,9,2,11,1,20,4,12,2
ENSMUSG00000028962.15,Slc4a2,6,1,7,4,4,2,9,1,6,1
ENSMUSG00000028959.15,Fastk,13,3,2,10,13,5,15,2,17,2
ENSMUSG00000028958.16,Tmub1,4,2,3,2,3,2,5,1,3,2
ENSMUSG00000023353.15,Agap3,19,7,14,14,31,6,33,4,18,6
ENSMUSG00000028953.11,Abcf2,6,2,8,7,7,2,14,4,5,1
ENSMUSG00000028949.14,Smarcd3,1,0,0,2,0,2,5,1,0,1
ENSMUSG00000028954.12,Nub1,7,4,14,5,8,5,13,1,15,3
ENSMUSG00000097275.2,Gm26648,1,0,2,1,0,0,1,0,2,0
ENSMUSG00000028945.10,Rheb,7,2,5,4,7,2,6,3,12,1
ENSMUSG00000028944.15,Prkag2,4,1,4,3,1,0,2,0,2,0
ENSMUSG00000038072.15,Galnt11,7,0,3,3,4,1,1,0,4,1
ENSMUSG00000038056.16,Kmt2c,84,32,108,77,43,20,106,23,64,13
ENSMUSG00000106457.2,Gm42585,3,0,4,1,1,0,3,0,2,0
ENSMUSG00000101856.2,1700096K18Rik,2,0,0,0,0,1,3,0,0,0
ENSMUSG00000028933.12,Xrcc2,1,0,1,1,0,0,0,1,1,0
ENSMUSG00000056367.15,Actr3b,3,1,1,2,2,1,7,0,2,1
ENSMUSG00000061576.16,Dpp6,78,20,97,52,74,19,111,22,80,15
ENSMUSG00000105946.2,Gm43776,0,1,8,2,1,0,1,0,2,0
ENSMUSG00000002221.12,Paxip1,7,3,8,7,8,2,12,6,7,2
ENSMUSG00000039106.7,Htr5a,1,0,1,1,0,0,2,1,1,0
ENSMUSG00000045294.12,Insig1,4,3,3,3,13,3,13,2,8,1
ENSMUSG00000048271.15,Rbm33,19,8,28,9,14,5,18,3,16,1
ENSMUSG00000002633.5,Shh,1,0,0,0,0,0,1,0,2,0
ENSMUSG00000089975.3,Gm7420,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000029130.13,Rnf32,3,0,5,0,1,0,1,0,2,0
ENSMUSG00000010721.16,Lmbr1,2,2,4,1,2,1,4,0,5,0
ENSMUSG00000001569.11,Nom1,3,0,1,1,3,2,0,0,2,3
ENSMUSG00000039000.9,Ube3c,9,4,19,7,8,9,17,4,11,0
ENSMUSG00000029131.15,Dnajb6,1,0,1,0,0,0,0,1,0,0
ENSMUSG00000025747.13,Tyms,2,0,2,0,0,0,0,0,0,0
ENSMUSG00000025745.13,Hadha,10,1,10,2,8,3,5,2,7,1
ENSMUSG00000059447.14,Hadhb,1,3,0,2,0,0,3,0,0,0
ENSMUSG00000075703.17,Selenoi,8,5,15,4,6,0,8,4,4,2
ENSMUSG00000062372.14,Otof,0,1,0,2,0,0,1,2,0,0
ENSMUSG00000053214.8,Gm9899,2,0,1,0,1,0,0,0,1,0
ENSMUSG00000049265.9,Kcnk3,6,4,16,7,18,4,16,4,7,2
ENSMUSG00000029175.18,Slc35f6,5,2,11,0,2,2,7,0,5,1
ENSMUSG00000029168.15,Dpysl5,20,14,51,11,31,5,20,2,15,4
ENSMUSG00000029166.15,Mapre3,46,9,35,31,52,15,60,14,45,14
ENSMUSG00000038828.14,Tmem214,16,3,14,6,6,4,11,4,4,2
ENSMUSG00000029165.18,Agbl5,7,4,10,2,9,1,15,3,7,3
ENSMUSG00000107201.2,5930420M18Rik,1,0,2,0,1,0,0,1,0,0
ENSMUSG00000029161.8,Cgref1,1,0,0,0,1,1,5,0,1,0
ENSMUSG00000045302.14,Preb,5,2,5,5,1,2,5,0,3,2
ENSMUSG00000006641.13,Slc5a6,3,0,1,0,2,0,5,0,3,0
ENSMUSG00000013622.16,Atraid,5,3,0,6,3,0,8,1,5,2
ENSMUSG00000013629.17,Cad,14,2,10,2,18,2,15,2,12,1
ENSMUSG00000029151.15,Slc30a3,2,1,1,0,0,0,1,0,2,1
ENSMUSG00000107283.4,Mpv17,5,0,4,2,5,2,5,3,2,0
ENSMUSG00000106864.4,Gtf3c2,4,1,8,4,3,0,5,3,4,1
ENSMUSG00000029145.13,Eif2b4,3,0,4,3,6,0,8,1,6,0
ENSMUSG00000029146.15,Snx17,12,2,2,2,6,1,10,4,7,1
ENSMUSG00000043059.17,Zfp513,1,0,1,1,3,1,4,1,4,0
ENSMUSG00000029147.12,Ppm1g,3,0,6,2,3,0,9,2,6,1
ENSMUSG00000029148.16,Nrbp1,14,3,14,2,8,2,11,6,12,4
ENSMUSG00000029149.15,Krtcap3,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000038564.12,Ift172,4,2,5,2,6,2,7,1,2,2
ENSMUSG00000038552.15,Fndc4,4,4,4,4,2,2,18,2,6,2
ENSMUSG00000059434.10,Gckr,2,1,3,0,2,0,2,1,0,0
ENSMUSG00000062761.8,Zfp512,11,2,9,6,10,0,12,5,6,1
ENSMUSG00000107120.2,Gm43059,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000064037.14,Gpn1,3,1,4,0,3,0,1,0,0,1
ENSMUSG00000053134.14,Supt7l,5,3,8,1,4,2,7,4,4,0
ENSMUSG00000029141.17,Slc4a1ap,3,0,7,5,4,0,6,0,5,2
ENSMUSG00000107352.2,Gm43660,3,1,5,0,0,1,2,3,4,0
ENSMUSG00000052139.19,Babam2,2,0,10,6,10,3,17,1,7,3
ENSMUSG00000106894.2,Gm17130,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000029135.11,Fosl2,1,2,10,5,4,1,11,2,1,3
ENSMUSG00000029134.15,Plb1,1,0,2,1,1,0,1,0,1,0
ENSMUSG00000014956.16,Ppp1cb,29,11,33,16,43,11,51,9,30,6
ENSMUSG00000107083.2,Gm43313,2,1,1,0,0,0,0,0,0,0
ENSMUSG00000014932.16,Yes1,3,1,3,2,0,0,3,1,1,0
ENSMUSG00000054280.15,Prr14l,12,3,13,13,5,1,9,3,5,0
ENSMUSG00000037426.19,Depdc5,15,5,14,7,13,5,19,2,14,3
ENSMUSG00000018965.12,Ywhah,2,1,4,1,2,1,2,0,4,0
ENSMUSG00000037379.8,Spon2,3,0,0,0,2,0,1,0,1,0
ENSMUSG00000037373.13,Ctbp1,19,3,12,11,17,5,31,2,16,2
ENSMUSG00000079562.8,Maea,8,5,6,5,8,2,10,4,10,1
ENSMUSG00000037355.15,Uvssa,4,2,6,4,4,1,2,1,3,0
ENSMUSG00000037339.18,Fam53a,3,0,3,2,3,2,4,0,3,0
ENSMUSG00000097271.2,Gm9903,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000004642.14,Slbp,3,0,4,1,4,1,2,1,3,0
ENSMUSG00000019295.9,Tmem129,3,2,4,2,4,1,5,0,2,1
ENSMUSG00000037313.17,Tacc3,1,1,2,0,1,0,0,0,1,0
ENSMUSG00000005299.7,Letm1,15,6,12,9,14,2,16,0,11,3
ENSMUSG00000057406.17,Nsd2,21,5,27,12,13,8,29,8,13,1
ENSMUSG00000029111.8,Nelfa,7,5,20,3,3,0,11,1,8,1
ENSMUSG00000070858.13,Gm1673,0,1,1,1,0,0,0,0,0,0
ENSMUSG00000048142.10,Nat8l,26,9,14,10,16,5,17,5,18,3
ENSMUSG00000037235.14,Mxd4,6,6,8,9,7,4,11,2,12,4
ENSMUSG00000037224.16,Zfyve28,2,0,1,1,0,3,2,4,6,1
ENSMUSG00000086291.2,Gm15513,1,1,0,1,1,1,1,1,0,0
ENSMUSG00000029110.14,Rnf4,9,3,15,3,10,3,9,2,10,1
ENSMUSG00000037210.17,Fam193a,31,7,24,23,24,8,36,10,27,7
ENSMUSG00000107227.2,Gm42559,0,1,2,0,0,0,1,0,0,0
ENSMUSG00000098062.2,Gm26931,0,2,0,0,1,0,0,0,0,0
ENSMUSG00000059866.14,Tnip2,1,0,2,0,0,0,1,0,0,0
ENSMUSG00000029106.15,Add1,61,15,59,40,60,21,89,32,49,10
ENSMUSG00000001082.13,Mfsd10,4,0,1,2,2,1,4,0,2,0
ENSMUSG00000036693.13,Nop14,0,1,2,0,3,0,3,1,0,0
ENSMUSG00000052783.17,Grk4,1,1,3,1,2,0,0,0,1,0
ENSMUSG00000029104.16,Htt,64,17,64,42,64,21,92,26,63,14
ENSMUSG00000051246.4,Msantd1,1,0,0,0,2,2,0,0,0,0
ENSMUSG00000029101.17,Rgs12,8,1,9,3,3,2,9,2,6,3
ENSMUSG00000044716.13,Dok7,1,0,0,0,2,0,2,0,0,0
ENSMUSG00000029103.17,Lrpap1,17,5,11,11,7,7,16,3,14,3
ENSMUSG00000045318.7,Adra2c,1,0,2,0,1,0,0,0,1,0
ENSMUSG00000055944.4,E130018O15Rik,1,0,0,0,0,0,0,1,1,0
ENSMUSG00000067438.6,Hmx1,4,1,2,0,2,1,4,0,4,1
ENSMUSG00000106928.2,Gm43860,1,0,2,0,0,0,0,0,0,0
ENSMUSG00000029098.18,Acox3,3,1,8,4,4,2,8,2,7,1
ENSMUSG00000029096.16,Htra3,1,0,0,2,0,1,0,0,0,2
ENSMUSG00000029095.18,Ablim2,10,3,6,9,14,3,13,3,13,1
ENSMUSG00000029094.13,Afap1,8,5,25,8,6,1,19,5,9,3
ENSMUSG00000029093.15,Sorcs2,32,7,36,12,20,7,49,5,37,5
ENSMUSG00000029198.4,Grpel1,2,0,2,1,0,0,2,1,2,0
ENSMUSG00000029192.18,Tbc1d14,8,2,6,5,7,4,10,2,5,3
ENSMUSG00000029190.20,D5Ertd579e,20,8,24,13,15,6,17,5,8,0
ENSMUSG00000060708.5,Bloc1s4,1,0,0,2,2,0,2,0,1,0
ENSMUSG00000055302.6,Mrfap1,7,3,10,2,7,4,13,0,9,2
ENSMUSG00000029119.10,Man2b2,9,0,8,6,6,2,14,3,5,1
ENSMUSG00000029120.11,Ppp2r2c,14,5,13,10,7,2,12,3,11,2
ENSMUSG00000039474.14,Wfs1,18,4,22,7,22,4,32,6,17,4
ENSMUSG00002075080.1,5S_rRNA,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000117286.2,Gm1043,2,0,2,1,0,1,0,0,0,1
ENSMUSG00000029121.17,Crmp1,39,21,47,15,42,10,55,11,48,10
ENSMUSG00000050248.12,Evc2,0,1,4,1,2,0,0,0,0,0
ENSMUSG00000029123.9,Stk32b,5,1,6,9,8,2,7,3,14,6
ENSMUSG00000029125.15,Stx18,3,0,1,0,1,0,4,0,0,0
ENSMUSG00000029126.8,Nsg1,13,6,16,6,23,5,21,9,9,3
ENSMUSG00000029127.16,Zbtb49,2,1,5,0,0,0,3,0,1,0
ENSMUSG00000067367.10,Lyar,2,1,3,1,2,1,3,1,1,0
ENSMUSG00000067365.12,Tmem128,3,0,2,3,1,1,2,2,2,1
ENSMUSG00000039358.4,Drd5,0,1,1,1,0,0,1,2,0,0
ENSMUSG00000005103.13,Wdr1,43,14,59,18,42,17,63,11,45,8
ENSMUSG00000046572.11,Zfp518b,10,3,8,1,6,0,15,0,6,1
ENSMUSG00000107134.2,Gm42528,2,1,2,0,0,0,0,1,1,0
ENSMUSG00000051022.8,Hs3st1,2,1,2,1,0,0,3,0,2,1
