Gene,Gene name,LS8A/AGGGTA,LS8A/GTTAGG,LS8A/TATGGA,LS8B/TATGGA,LS8B/AGGGTA,LS8B/GTTAGG,LS8C/TATGGA,LS8C/AGGGTA,LS8C/GTTAGG,LS8D/AGGGTA,LS8D/GTTAGG,LS8D/TATGGA,LS8E/TATGGA,LS8E/GTTAGG,LS8E/AGGGTA,LS8F/TATGGA,LS8F/GTTAGG,LS8F/AGGGTA,LS8H/TATGGA,LS8H/GTTAGG,LS8H/AGGGTA
ENSMUSG00000044018.4,Mrpl50,18,4,19,23,20,8,16,16,4,14,4,6,3,2,2,1,0,0,2,0,1
ENSMUSG00000039634.13,Zfp189,3,1,4,1,3,0,2,4,2,1,1,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000039611.3,Pgap4,48,7,11,5,34,10,4,37,4,34,12,2,4,1,2,3,0,0,1,1,1
ENSMUSG00000039579.16,Grin3a,39,5,8,1,27,2,6,42,3,29,5,4,0,1,1,2,2,0,1,0,0
ENSMUSG00000028312.20,Smc2,4,0,11,6,3,2,0,2,3,2,2,0,1,0,0,0,0,0,1,0,0
ENSMUSG00000015247.11,Nipsnap3b,8,2,5,4,5,0,2,3,0,3,2,1,5,1,1,0,1,0,1,0,0
ENSMUSG00000015243.5,Abca1,15,27,35,22,10,30,20,14,38,14,42,16,4,5,1,5,0,2,8,0,2
ENSMUSG00000086712.3,Mexis,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000028412.18,Slc44a1,30,17,109,122,14,9,75,28,12,26,6,46,23,4,9,16,1,1,11,1,2
ENSMUSG00000054752.17,Fsd1l,38,14,140,143,25,10,84,29,10,25,8,70,24,3,3,12,1,1,11,2,5
ENSMUSG00000084970.2,1700060J05Rik,2,2,12,15,3,2,11,0,1,0,1,5,2,0,1,0,0,1,0,0,0
ENSMUSG00000081516.2,Gm12470,0,1,4,4,2,0,1,2,1,2,1,7,2,0,0,2,0,0,0,0,0
ENSMUSG00000028414.18,Fktn,31,2,22,16,27,8,18,15,7,21,12,19,5,0,5,2,0,1,1,1,0
ENSMUSG00000028420.14,Tmem38b,6,1,9,10,0,1,2,4,1,2,2,4,1,0,0,1,0,0,1,1,0
ENSMUSG00000060206.12,Zfp462,189,95,381,337,153,84,210,152,91,120,91,134,67,13,26,45,7,4,29,5,14
ENSMUSG00000028426.11,Rad23b,180,37,122,111,154,26,72,167,29,140,34,51,34,4,8,24,2,6,10,3,6
ENSMUSG00000003032.9,Klf4,5,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028431.12,Elp1,50,11,52,35,37,10,31,46,10,35,8,22,9,2,2,10,1,3,5,0,2
ENSMUSG00000038827.12,Abitram,16,6,33,22,18,15,12,14,2,14,7,9,9,1,2,1,0,2,3,1,0
ENSMUSG00000038816.15,Ctnnal1,4,0,8,1,3,2,5,3,3,5,0,1,1,1,0,6,0,0,2,0,0
ENSMUSG00000055296.15,Tmem245,77,32,95,89,63,14,53,62,19,44,22,31,14,3,9,11,1,7,6,2,3
ENSMUSG00000064595.2,Gm22300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045589.8,Frrs1l,103,24,28,7,98,18,11,74,17,84,13,6,7,4,5,7,0,3,7,2,2
ENSMUSG00000028434.13,Epb41l4b,70,13,4,9,43,3,7,35,6,40,5,2,4,1,2,2,0,0,1,0,1
ENSMUSG00000038764.15,Ptpn3,7,6,2,1,6,3,2,12,2,3,4,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000095042.2,Gm12537,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000081540.4,Gm12538,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090053.10,Pakap,16,1,1,0,4,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089945.14,Pakap,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000038729.25,Pakap,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000052117.6,D630039A03Rik,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028367.6,Txn1,15,5,9,12,31,5,5,24,4,19,8,3,8,2,1,3,0,0,1,0,1
ENSMUSG00000028369.16,Svep1,2,0,0,1,3,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000057280.16,Musk,0,1,2,1,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1
ENSMUSG00000038668.15,Lpar1,5,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043385.5,Olfr267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050812.19,Ecpas,207,23,117,94,159,34,54,166,20,146,21,47,28,4,8,13,1,3,10,3,12
ENSMUSG00000038630.9,Zkscan16,9,3,2,0,9,3,1,6,1,5,3,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000070972.14,Dnajc25,4,2,9,3,3,2,4,2,0,2,2,4,2,0,0,0,0,0,0,0,0
ENSMUSG00000028381.9,Ugcg,106,15,44,19,79,19,13,77,15,73,17,5,10,2,4,3,0,1,3,1,1
ENSMUSG00000038578.16,Susd1,8,0,1,0,3,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028382.16,Ptbp3,22,6,16,14,12,3,11,16,5,14,6,12,3,1,1,2,0,0,3,2,0
ENSMUSG00000028383.18,Hsdl2,25,2,11,11,12,4,5,15,7,17,3,3,1,1,0,1,0,0,1,0,0
ENSMUSG00000045071.15,E130308A19Rik,38,25,103,88,37,16,45,39,9,30,10,31,13,4,7,5,1,2,11,3,1
ENSMUSG00000038544.15,Inip,7,4,17,19,9,5,17,8,4,7,2,12,6,0,1,2,0,1,1,0,1
ENSMUSG00000028385.15,Snx30,8,1,17,9,17,3,3,11,0,14,1,4,4,1,2,3,0,3,3,0,1
ENSMUSG00000028389.13,Zfp37,9,19,36,37,11,6,17,9,9,8,5,14,8,1,2,2,0,0,4,0,0
ENSMUSG00000066152.12,Slc31a2,5,1,38,28,6,4,17,2,3,4,5,19,6,0,0,3,0,0,1,1,2
ENSMUSG00000066151.13,Fkbp15,33,20,36,43,38,15,30,27,22,24,13,20,8,0,4,7,0,1,1,0,2
ENSMUSG00000066150.13,Slc31a1,15,6,38,41,12,4,34,18,8,9,11,14,11,1,2,5,0,1,5,1,1
ENSMUSG00000066149.12,Cdc26,9,4,17,11,7,2,4,4,5,14,6,5,2,1,0,3,0,2,1,1,0
ENSMUSG00000066148.4,Prpf4,11,3,17,19,12,8,12,11,3,13,7,14,4,1,1,3,1,1,1,1,3
ENSMUSG00000028391.17,Wdr31,4,5,64,41,10,3,30,5,2,3,1,21,6,0,5,3,0,0,5,0,3
ENSMUSG00000028392.16,Bspry,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000038422.3,Hdhd3,3,0,1,2,3,0,0,1,1,2,2,3,0,0,1,1,0,0,0,0,0
ENSMUSG00000028393.11,Alad,9,3,18,17,20,7,12,12,7,10,4,9,6,0,3,4,0,0,2,0,0
ENSMUSG00000028394.10,Pole3,9,4,7,10,7,1,2,3,4,11,1,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000058046.2,4933430I17Rik,1,0,0,4,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000059810.19,Rgs3,8,3,3,1,8,1,1,0,1,7,4,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000028358.16,Zfp618,42,16,11,5,40,6,4,23,10,29,11,5,7,0,0,2,1,1,0,0,0
ENSMUSG00000045672.16,Col27a1,2,8,2,1,1,13,1,4,10,1,7,0,1,0,1,0,0,0,0,0,0
ENSMUSG00000061540.4,Orm2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039158.12,Akna,13,9,150,147,22,12,93,17,13,11,7,78,23,3,6,11,3,3,10,0,6
ENSMUSG00000039137.19,Whrn,47,28,206,207,54,19,121,52,19,37,14,87,39,6,11,28,0,7,20,3,7
ENSMUSG00000039105.7,Atp6v1g1,3,2,2,5,8,1,3,3,0,6,2,0,1,0,1,0,0,0,0,0,0
ENSMUSG00000045917.18,Tmem268,12,3,11,6,8,1,9,8,1,6,1,7,1,0,0,0,0,0,0,0,0
ENSMUSG00000099294.3,Gm11214,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0
ENSMUSG00000028362.3,Tnfsf8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028364.16,Tnc,26,0,14,5,25,3,4,15,1,20,7,4,1,1,0,2,0,0,1,0,0
ENSMUSG00000028370.8,Pappa,14,1,1,1,13,1,0,16,1,14,2,0,1,0,2,1,0,0,0,0,0
ENSMUSG00000028373.17,Astn2,42,2,5,3,52,0,1,38,5,43,2,2,1,2,1,4,0,1,4,0,0
ENSMUSG00000051675.14,Trim32,68,11,24,16,51,9,11,77,6,57,14,15,5,2,4,5,0,1,5,2,3
ENSMUSG00000083080.2,Gm11484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039005.14,Tlr4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081231.2,Tcp1-ps1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028351.6,Brinp1,98,4,10,9,58,2,2,74,3,59,3,3,7,1,4,3,1,0,3,0,1
ENSMUSG00000039298.17,Cdk5rap2,11,11,64,57,10,8,33,10,12,15,12,18,9,2,5,8,1,1,2,1,1
ENSMUSG00000039270.10,Megf9,118,29,132,114,67,29,78,77,24,66,20,38,17,4,6,16,0,4,11,0,2
ENSMUSG00000008305.19,Tle1,37,14,20,12,23,15,10,36,17,23,23,4,2,1,2,3,0,0,0,1,0
ENSMUSG00000084910.2,C630043F03Rik,4,1,3,0,0,1,1,1,3,0,0,1,0,0,1,0,0,0,1,0,0
ENSMUSG00000059343.5,Aldoart1,3,1,10,14,5,3,8,1,5,5,4,4,2,1,2,4,0,1,2,1,1
ENSMUSG00000043003.15,Rasef,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000049122.18,Frmd3,12,32,18,2,21,37,7,29,37,20,42,8,3,1,1,2,0,0,1,0,0
ENSMUSG00000083767.2,Gm11405,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000085482.2,A230083N12Rik,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000028397.14,Kdm4c,29,17,206,211,41,21,138,36,22,18,21,104,34,3,13,18,6,2,24,3,5
ENSMUSG00000081067.2,Gm12912,1,1,0,1,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028398.9,Dmac1,22,4,23,26,24,5,14,16,2,14,15,9,7,0,0,1,0,0,4,0,1
ENSMUSG00000081844.2,Gm11241,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000028399.19,Ptprd,174,181,87,36,164,170,22,145,153,137,165,18,46,9,4,12,2,7,10,1,1
ENSMUSG00000080780.2,Gm11252,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000110373.2,Gm42303,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081890.2,Gm11243,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084090.2,Gm11245,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000092492.2,B230208B08Rik,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000082179.2,Gm11407,2,1,1,1,3,0,0,3,0,1,1,3,4,0,1,2,0,0,1,0,1
ENSMUSG00000083076.2,Gm11408,5,0,1,1,3,0,1,0,0,1,1,1,5,1,1,2,0,0,0,0,0
ENSMUSG00000083219.2,Gm11410,2,2,3,4,8,0,4,9,2,5,0,2,4,0,1,1,0,0,2,1,0
ENSMUSG00000005994.15,Tyrp1,2,2,8,3,0,0,2,1,0,4,1,1,0,0,1,0,1,1,0,0,0
ENSMUSG00000048706.4,Lurap1l,11,6,44,41,20,8,36,13,5,7,6,22,4,0,1,2,0,0,4,0,2
ENSMUSG00000028402.19,Mpdz,33,20,140,172,35,25,88,34,13,23,16,54,25,3,9,15,4,6,15,3,4
ENSMUSG00000008575.18,Nfib,41,30,25,9,39,42,7,23,37,15,36,11,10,3,4,5,2,0,3,1,0
ENSMUSG00000084357.2,Gm11268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028403.16,Zdhhc21,57,12,51,47,52,13,30,34,15,40,12,21,16,0,5,6,0,3,9,0,3
ENSMUSG00000038192.6,Cer1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059049.15,Frem1,15,12,6,4,10,17,7,6,6,5,9,3,5,1,0,4,0,0,1,0,0
ENSMUSG00000083245.2,Gm11185,0,0,2,2,0,0,1,4,0,1,1,0,1,0,0,2,0,0,0,0,0
ENSMUSG00000038172.15,Ttc39b,39,12,38,26,33,16,17,26,17,29,21,16,7,1,0,4,1,1,4,0,4
ENSMUSG00000119168.1,U6,1,0,1,1,0,1,0,2,0,0,0,1,2,0,1,1,0,0,0,0,1
ENSMUSG00000028483.14,Snapc3,17,3,12,21,14,2,8,12,5,9,11,10,4,2,3,1,0,1,2,0,0
ENSMUSG00000028484.17,Psip1,110,28,94,73,88,39,46,81,41,87,51,36,20,2,6,5,2,8,9,2,3
ENSMUSG00000082416.2,Gm11414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064606.3,Gm25899,4,4,15,13,4,3,11,2,5,3,4,9,14,1,4,6,0,1,6,1,0
ENSMUSG00000052407.18,Ccdc171,0,1,1,2,2,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000080793.2,Cbx3-ps3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083044.2,Gm12416,1,0,6,1,2,0,0,3,0,2,2,0,1,1,1,0,0,0,0,0,1
ENSMUSG00000028487.19,Bnc2,30,2,6,1,16,0,0,20,0,12,1,2,3,0,0,1,0,2,0,0,1
ENSMUSG00000038070.16,Cntln,13,4,22,23,3,4,8,6,3,3,1,8,6,0,1,5,0,0,7,0,0
ENSMUSG00000028488.16,Sh3gl2,303,72,282,238,270,91,163,270,86,219,87,128,75,12,16,47,9,11,39,6,11
ENSMUSG00000066113.17,Adamtsl1,15,10,8,5,9,8,3,13,7,6,12,3,4,0,1,0,0,0,0,0,0
ENSMUSG00000070934.7,Rraga,55,19,56,68,53,17,33,54,16,37,12,26,11,2,2,10,2,4,9,0,1
ENSMUSG00000038047.19,Haus6,12,2,9,6,12,4,2,8,0,3,0,6,2,0,1,0,0,0,2,0,1
ENSMUSG00000028494.13,Plin2,5,0,0,0,5,0,0,2,0,6,2,0,1,0,0,0,0,0,1,0,0
ENSMUSG00000038024.18,Dennd4c,7,9,47,43,7,6,15,7,8,6,7,18,5,2,5,3,0,0,2,1,2
ENSMUSG00000082969.2,Gm12630,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028495.15,Rps6,2,0,0,3,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000038007.15,Acer2,4,3,18,19,2,4,11,4,4,8,4,9,2,0,2,0,0,1,1,0,1
ENSMUSG00000037996.18,Slc24a2,365,28,85,58,266,39,31,319,25,264,28,35,32,5,7,16,1,0,7,6,8
ENSMUSG00000028496.18,Mllt3,26,13,45,45,17,6,17,26,5,21,10,25,7,4,7,4,0,1,5,0,0
ENSMUSG00000038368.17,Focad,29,8,11,8,23,12,4,19,10,21,5,3,3,2,1,0,0,0,1,0,0
ENSMUSG00000028497.13,Hacd4,6,5,0,0,3,1,0,12,0,2,2,1,1,2,0,0,0,0,0,0,0
ENSMUSG00000078480.4,Mrpl48-ps,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000070923.5,Klhl9,80,32,120,109,63,49,61,75,29,66,39,48,20,5,6,19,2,1,3,2,4
ENSMUSG00000062937.8,Mtap,4,0,1,0,3,0,0,4,3,1,2,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000082569.2,Gm12634,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000008489.19,Elavl2,81,0,12,6,48,4,4,63,2,76,2,4,2,2,1,1,1,1,1,1,1
ENSMUSG00000083377.2,Gm12653,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100863.2,Gm12669,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000082919.2,Gm12641,2,0,0,3,1,0,2,0,1,1,1,0,1,0,0,1,1,1,0,0,1
ENSMUSG00000054000.6,Tusc1,6,3,1,0,2,0,1,2,4,7,2,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000063314.6,Gm12657,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028578.9,Caap1,2,2,3,3,4,1,3,2,0,1,4,1,2,0,0,0,1,0,1,0,0
ENSMUSG00000028577.14,Plaa,37,7,21,22,31,6,13,19,12,33,7,7,4,0,1,2,0,0,2,0,1
ENSMUSG00000028576.13,Ift74,11,2,13,18,4,0,13,7,2,2,3,7,1,0,1,2,0,1,1,0,2
ENSMUSG00000006386.16,Tek,11,0,1,2,9,0,0,7,1,14,1,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000083179.4,Gm12693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000062627.10,Mysm1,14,4,24,26,8,3,15,3,7,13,5,8,8,1,0,2,0,2,1,1,0
ENSMUSG00000052684.5,Jun,19,9,30,29,19,9,22,19,13,11,10,12,7,1,3,8,0,0,1,0,3
ENSMUSG00000028573.19,Fggy,1,0,2,0,2,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000044125.7,9530080O11Rik,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000028572.14,Hook1,36,11,129,153,26,14,62,31,17,20,20,51,33,5,11,25,0,2,22,1,3
ENSMUSG00000028571.16,Cyp2j13,1,0,1,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000052914.5,Cyp2j6,14,5,5,1,11,6,3,8,4,8,4,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000015224.11,Cyp2j9,4,1,0,2,5,2,1,7,3,2,2,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000084159.2,Gm12696,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000048747.15,E130114P18Rik,4,2,4,2,2,7,4,3,1,4,7,0,0,0,2,0,0,0,2,0,0
ENSMUSG00000085710.2,Gm12676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028565.19,Nfia,74,86,45,24,71,83,21,73,77,64,95,19,25,2,9,12,2,2,8,1,3
ENSMUSG00000064883.3,Gm24203,1,0,3,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000082144.2,Gm12788,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028563.17,Tm2d1,6,0,3,7,6,1,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000061859.18,Patj,16,3,34,17,24,1,9,14,4,11,1,4,9,0,1,2,2,1,2,0,3
ENSMUSG00000081046.2,Gm12846,2,0,1,1,1,0,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0
ENSMUSG00000035407.9,Kank4,16,0,3,0,12,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028553.13,Angptl3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000028560.12,Usp1,4,3,7,6,5,1,8,3,3,5,3,1,1,0,1,2,0,0,0,0,1
ENSMUSG00000028556.16,Dock7,55,22,50,41,52,20,27,63,13,50,24,15,19,1,5,8,1,2,7,0,1
ENSMUSG00000087395.2,Gm12705,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000028550.16,Atg4c,23,9,78,75,29,9,32,23,9,17,7,25,11,0,5,9,1,2,3,1,2
ENSMUSG00000104479.2,Gm10305,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000073792.12,Alg6,10,3,11,9,7,4,10,8,3,6,4,4,2,0,1,2,0,0,1,0,0
ENSMUSG00000028549.18,Itgb3bp,3,0,4,4,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000073791.14,Efcab7,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ENSMUSG00000025791.19,Pgm1,80,19,74,64,58,22,49,66,18,48,25,33,15,2,2,6,2,2,6,2,6
ENSMUSG00000035305.6,Ror1,4,1,4,1,4,0,1,1,1,5,3,2,2,0,0,0,0,0,0,0,0
ENSMUSG00000028532.15,Cachd1,92,13,13,3,61,6,4,77,1,78,3,3,5,1,0,1,0,1,2,0,2
ENSMUSG00000035275.15,Raver2,20,29,18,16,11,22,7,15,22,21,10,8,0,0,2,1,0,0,1,0,0
ENSMUSG00000028530.15,Jak1,207,30,187,162,186,35,89,154,50,143,34,64,28,6,5,20,1,6,24,9,4
ENSMUSG00000028527.19,Ak4,12,4,23,21,15,7,15,11,9,6,10,8,10,0,2,6,0,1,9,0,1
ENSMUSG00000028528.18,Dnajc6,357,83,307,265,307,73,165,322,81,269,52,112,62,12,31,40,5,11,35,5,10
ENSMUSG00002075496.1,7SK,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000035212.15,Leprot,6,1,2,4,5,1,3,6,1,4,1,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000057722.18,Lepr,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000082264.2,Gm12799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028525.17,Pde4b,68,19,38,17,57,21,13,57,13,73,19,9,11,2,1,6,0,0,8,3,2
ENSMUSG00000028524.22,Sgip1,383,56,534,487,287,72,314,289,75,252,69,211,91,19,30,55,13,9,56,7,21
ENSMUSG00000028522.17,Mier1,41,13,58,40,19,10,28,24,14,20,10,19,6,2,9,6,2,1,3,1,2
ENSMUSG00000085181.2,Gm12709,2,0,8,4,1,0,1,1,0,0,1,4,0,0,1,0,0,0,0,0,0
ENSMUSG00000028523.15,Dynlt5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085041.2,BB031773,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000035126.20,Dnai4,9,3,54,78,6,6,32,4,5,4,5,32,14,1,6,8,1,2,5,1,2
ENSMUSG00000028521.18,Slc35d1,10,5,10,19,7,7,6,12,10,6,6,5,2,0,1,2,0,0,1,1,1
ENSMUSG00000107726.2,Gm44037,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ENSMUSG00000035069.4,Oma1,1,1,13,14,3,1,12,6,3,2,2,3,3,0,0,3,0,0,2,0,1
ENSMUSG00000059195.11,Gm12715,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000028519.17,Dab1,74,18,27,6,61,21,5,59,29,52,19,5,15,2,2,5,0,1,3,3,2
ENSMUSG00000081696.3,Gm12717,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000078612.10,Fyb2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028518.9,Prkaa2,132,17,34,30,114,14,26,94,12,87,24,15,7,3,4,6,0,4,8,3,3
ENSMUSG00000028517.9,Plpp3,27,33,12,5,24,31,4,19,11,15,22,8,10,0,3,5,0,4,0,1,0
ENSMUSG00000082061.2,Gm12726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028514.16,Usp24,70,13,34,24,49,21,14,62,26,39,17,15,14,2,4,2,0,0,3,1,1
ENSMUSG00000044254.7,Pcsk9,1,1,0,1,4,0,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000025418.8,Bsnd,0,2,0,0,0,11,2,1,12,0,6,1,3,1,0,1,0,0,0,0,1
ENSMUSG00000034926.4,Dhcr24,210,12,34,19,151,17,10,174,16,155,16,17,21,1,5,5,0,4,5,6,3
ENSMUSG00000043572.8,Pars2,7,2,4,8,5,0,3,4,0,1,1,5,1,0,0,0,0,0,0,0,1
ENSMUSG00000025413.14,Ttc4,11,2,17,12,7,4,5,12,4,7,2,4,3,0,1,2,0,0,0,0,0
ENSMUSG00000047502.15,Mroh7,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000034853.17,Acot11,16,5,6,3,11,9,2,8,2,7,9,3,2,0,0,0,0,0,1,0,0
ENSMUSG00000061887.15,Ssbp3,184,75,160,115,160,81,79,185,71,140,71,65,36,9,16,27,3,11,20,3,2
ENSMUSG00000028618.12,Tmem59,82,30,127,124,85,47,49,92,40,67,34,45,30,1,9,21,2,11,16,3,4
ENSMUSG00000028622.12,Mrpl37,27,7,36,33,36,11,32,20,5,35,13,12,6,3,4,5,1,0,3,0,4
ENSMUSG00000028621.18,Cyb5rl,4,2,2,7,2,1,0,10,0,4,1,4,1,0,0,0,1,0,2,0,0
ENSMUSG00000085304.2,Gm12802,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028619.16,Tceanc2,10,3,4,12,17,5,4,15,2,17,3,1,4,0,2,0,0,0,1,0,0
ENSMUSG00000028617.11,Lrrc42,2,3,5,6,7,1,6,6,5,3,6,2,0,0,0,0,0,0,0,0,1
ENSMUSG00000063172.14,Hspb11,7,3,7,5,4,2,4,6,0,1,1,2,0,0,0,1,0,0,0,2,0
ENSMUSG00000057375.14,Yipf1,19,4,15,19,15,6,4,11,3,10,4,5,8,0,1,1,0,0,2,1,0
ENSMUSG00000086041.2,Gm12869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028614.15,Ndc1,24,5,22,16,18,4,7,16,1,8,4,16,6,1,1,4,0,2,0,0,3
ENSMUSG00000034762.10,Glis1,1,3,0,0,1,4,2,2,2,1,5,0,1,0,0,0,0,0,1,0,1
