,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
Etv3,Etv3,0,1,1,1,0,1,0.0,0,0,0,0,0,3,11,14,6,23,21,61,77,71,84,146,142
Etv4,Etv4,0,0,0,2,0,2,0.0,0,0,0,0,0,2,4,1,1,13,10,38,58,52,37,149,127
Etv5,Etv5,1,0,0,4,1,0,0.0,0,0,1,0,0,10,17,24,18,65,44,60,96,90,107,157,119
Etv6,Etv6,0,1,1,0,0,0,0.0,0,0,0,1,0,2,4,2,3,9,10,20,41,21,39,98,53
Eva1a,Eva1a,0,0,0,0,0,0,0.0,0,0,0,0,0,3,6,4,10,25,20,1,0,0,0,1,1
Eva1b,Eva1b,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,2,0,0,9,2,5,5,1
Eva1c,Eva1c,0,0,1,0,0,0,0.0,0,0,0,0,0,10,10,10,15,38,30,7,6,4,6,9,2
Evc,Evc,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2,4,4,3,1,6,2,3,8,2
Evc2,Evc2,0,0,1,0,0,0,0.0,0,0,0,0,0,6,6,11,6,24,18,6,14,12,29,31,31
Evi2a,Evi2a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,6,4,2,1,0,0,0,1
Evi5,Evi5,3,2,2,4,3,5,0.0,0,0,0,4,4,65,74,88,107,276,197,224,317,261,310,521,487
Evi5l,Evi5l,0,0,1,3,0,1,0.0,0,0,0,3,0,4,6,7,11,31,26,113,123,119,127,316,288
Evl,Evl,1,1,5,9,13,9,0.0,0,0,1,2,5,7,10,8,7,55,36,447,528,430,585,1357,1225
Evpl,Evpl,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,0,6,3
Evx2,Evx2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ewsr1,Ewsr1,6,4,7,15,23,27,0.0,0,1,2,9,10,51,80,66,83,218,185,884,1118,1050,1108,1977,1700
Exd1,Exd1,0,0,0,0,0,0,0.0,0,0,0,0,0,2,5,2,3,12,5,1,2,5,2,3,1
Exd2,Exd2,0,0,1,1,3,1,0.0,0,1,0,0,1,7,10,12,8,25,23,158,183,178,192,328,271
Exo1,Exo1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Exo5,Exo5,1,0,1,0,0,1,0.0,0,0,0,0,0,3,3,5,6,17,15,53,47,58,73,109,83
Exoc1,Exoc1,2,0,0,1,2,4,0.0,0,0,1,0,1,10,19,21,9,44,32,148,218,188,232,342,306
Exoc2,Exoc2,1,0,0,1,4,1,0.0,0,0,0,1,2,1,11,8,9,27,16,71,119,106,124,180,134
Exoc3,Exoc3,0,3,9,13,21,12,0.0,0,0,0,0,4,33,56,72,60,171,147,577,651,641,736,1585,1395
Exoc3l,Exoc3l,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,11,5
Exoc3l2,Exoc3l2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,1,12,8
Exoc3l4,Exoc3l4,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,3,0,1
Exoc4,Exoc4,1,0,5,1,3,4,0.0,0,0,0,1,2,10,17,17,22,71,49,89,137,111,160,334,295
Exoc5,Exoc5,3,1,2,3,6,3,0.0,0,0,0,0,1,9,13,8,9,34,32,250,344,332,436,761,538
Exoc6,Exoc6,0,1,0,1,2,2,0.0,0,0,0,0,1,2,2,5,9,16,10,33,43,55,64,82,75
Exoc6b,Exoc6b,1,2,0,1,1,0,0.0,0,0,0,0,0,4,5,4,1,22,9,35,53,50,57,88,82
Exoc7,Exoc7,0,0,2,1,4,5,0.0,0,0,0,1,0,14,16,14,14,59,41,119,154,135,196,400,373
Exoc8,Exoc8,0,2,1,2,1,2,0.0,0,0,0,0,0,4,4,4,4,19,10,42,44,46,58,118,100
Exog,Exog,0,0,0,0,1,1,0.0,0,0,0,0,0,2,3,4,5,15,9,34,34,36,48,124,107
Exosc1,Exosc1,0,1,1,0,1,3,0.0,0,0,0,1,1,10,19,16,15,42,34,123,133,153,178,272,259
Exosc10,Exosc10,2,4,6,1,5,4,0.0,0,0,0,0,2,16,21,17,23,66,41,213,286,260,315,641,550
Exosc2,Exosc2,1,0,0,2,3,2,0.0,0,0,1,0,2,2,3,3,7,16,13,90,94,87,104,240,209
Exosc3,Exosc3,1,0,0,4,8,3,0.0,0,0,0,0,2,16,25,18,22,76,66,147,160,162,184,340,310
Exosc4,Exosc4,2,1,1,1,1,1,0.0,0,0,0,2,0,10,17,15,17,66,41,103,124,124,133,324,252
Exosc5,Exosc5,0,2,0,1,1,4,0.0,0,0,0,0,2,15,9,10,17,32,47,88,93,71,128,293,232
Exosc7,Exosc7,1,2,3,2,0,2,0.0,0,0,0,1,3,9,24,15,15,49,44,167,238,197,210,396,413
Exosc8,Exosc8,0,1,2,2,3,1,0.0,0,0,0,0,2,15,13,14,16,45,29,117,160,168,166,296,304
Exosc9,Exosc9,2,1,3,7,4,10,0.0,0,1,0,2,4,20,19,11,18,47,42,185,272,251,295,428,349
Exph5,Exph5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0
Ext1,Ext1,3,2,1,5,1,5,0.0,0,0,0,0,0,4,14,9,10,33,24,21,28,24,37,85,66
Ext2,Ext2,0,0,1,0,0,1,0.0,1,0,0,2,0,16,22,15,17,60,54,108,93,99,102,263,221
Extl1,Extl1,0,0,0,0,1,1,0.0,0,0,0,0,0,0,2,0,0,1,0,18,23,26,33,28,18
Extl2,Extl2,7,6,12,8,14,9,0.0,0,0,0,2,3,21,27,29,33,77,65,767,1033,1068,1247,1971,1674
Extl3,Extl3,1,2,2,3,1,2,0.0,0,0,0,0,0,8,7,9,4,29,25,114,160,128,168,280,284
Eya1,Eya1,0,0,0,0,0,0,0.0,1,0,0,1,2,0,0,0,0,0,2,8,5,7,13,21,14
Eya2,Eya2,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,1,3,7,6,5,3,4,9,7,6
Eya3,Eya3,1,0,0,2,1,2,0.0,0,0,1,0,1,3,8,4,4,9,16,46,65,56,86,79,84
Eya4,Eya4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,2,1,3,7,5,3,16,15
Ezh1,Ezh1,2,4,1,8,3,8,0.0,0,1,1,0,1,19,24,22,24,53,45,181,243,241,318,393,386
Ezh2,Ezh2,4,6,6,8,20,14,0.0,0,0,0,3,1,33,51,45,49,189,146,613,793,837,898,1687,1449
Ezr,Ezr,0,3,0,3,0,4,0.0,0,0,0,0,0,30,39,54,69,131,125,172,193,197,224,354,275
F10,F10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,1,0,1
F11,F11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11r,F11r,0,0,0,0,0,0,0.0,0,0,0,0,0,7,16,12,16,26,20,1,1,0,0,1,0
F13a1,F13a1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1
F2,F2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,7,19,7,14,15,11
F2r,F2r,0,0,0,0,0,0,0.0,0,0,0,0,0,4,6,7,11,33,18,1,0,0,4,10,5
F2rl1,F2rl1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
F2rl3,F2rl3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,2,1,7,6,8,3
F3,F3,0,0,0,0,3,0,0.0,0,0,0,0,0,67,77,54,61,247,208,3,1,1,4,9,3
F420014N23Rik,F420014N23Rik,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0,0,2,6,3,11,9,6,8,17,7
F5,F5,0,0,1,0,0,1,0.0,0,0,0,0,0,0,2,0,0,3,2,1,6,0,4,12,12
F630028O10Rik,F630028O10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F630040K05Rik,F630040K05Rik,1,0,1,4,5,3,0.0,0,1,0,0,2,2,1,1,4,8,7,6,4,6,3,14,16
F7,F7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,5,3
F730016J06Rik,F730016J06Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,5,4,2,4,7,3
F730035M05Rik,F730035M05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
F730043M19Rik,F730043M19Rik,0,0,0,0,1,2,0.0,0,0,0,0,0,2,15,4,6,61,26,8,14,9,12,25,25
F730311O21Rik,F730311O21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F8,F8,0,0,0,1,1,0,0.0,0,0,0,0,0,1,0,0,0,3,1,9,11,14,11,53,30
F830016B08Rik,F830016B08Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F830045P16Rik,F830045P16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
F830112A20Rik,F830112A20Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F830208F22Rik,F830208F22Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F830212C03Rik,F830212C03Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8a,F8a,1,0,0,7,1,1,0.0,0,0,0,0,1,9,14,7,7,22,21,100,119,111,130,203,186
F9,F9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F930015N05Rik,F930015N05Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Fa2h,Fa2h,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Faah,Faah,1,0,0,2,1,4,0.0,0,0,1,1,0,1,0,1,3,6,4,36,27,17,37,132,100
Fabp1,Fabp1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fabp12,Fabp12,4,9,2,8,22,8,0.0,1,6,1,13,11,0,1,0,0,4,1,9,11,7,6,19,32
Fabp2,Fabp2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fabp3,Fabp3,0,0,1,1,0,0,0.0,0,0,0,0,0,1,1,0,0,0,1,56,89,60,94,107,103
Fabp3-ps1,Fabp3-ps1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,4,2,6,17,8,4,13,13
Fabp4,Fabp4,0,0,2,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,2,0,2
Fabp5,Fabp5,0,3,1,0,1,4,0.0,0,0,0,0,0,4,1,0,0,1,3,46,58,46,55,165,115
Fabp6,Fabp6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Fabp7,Fabp7,0,1,1,1,8,3,0.0,2,3,1,3,7,0,1,0,0,0,0,15,23,19,18,67,72
Fabp9,Fabp9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fadd,Fadd,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,1,0,9,7,7,6,4,4,13,10
Faddos,Faddos,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Fads1,Fads1,0,0,1,0,2,0,0.0,0,0,0,0,0,18,39,33,24,89,74,48,42,45,59,165,147
Fads2,Fads2,0,0,0,0,0,0,0.0,0,0,0,0,0,1,6,5,8,20,16,3,8,2,5,23,14
Fads3,Fads3,0,1,0,0,0,0,0.0,0,0,0,0,0,13,15,20,18,74,52,8,3,3,9,29,23
Fads6,Fads6,0,0,1,3,1,0,0.0,0,0,0,1,0,11,25,17,28,48,39,40,62,62,70,84,76
Faf1,Faf1,1,0,0,1,3,10,0.0,0,0,0,0,0,4,12,9,12,44,34,125,128,140,133,301,239
Faf2,Faf2,1,1,5,5,9,8,0.0,1,0,0,4,3,20,25,44,40,157,124,309,397,408,396,1005,810
Fah,Fah,1,0,0,1,0,0,0.0,0,0,0,0,0,9,21,7,12,51,47,26,25,42,40,59,46
Fahd1,Fahd1,1,0,3,2,1,1,0.0,0,0,0,0,1,8,16,15,10,42,36,121,135,147,175,298,287
Fahd2a,Fahd2a,3,0,2,3,5,3,0.0,0,0,0,5,0,14,28,17,16,73,45,192,230,216,229,434,451
Faim,Faim,7,5,8,9,34,24,0.0,0,0,0,5,2,20,33,26,27,114,74,214,308,248,301,615,537
Faim2,Faim2,4,4,2,3,5,13,0.0,0,0,0,0,0,2,5,3,3,8,8,660,865,690,906,1717,1473
Faim3,Faim3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fam101a,Fam101a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0,0,1,4,22,12,22,19,60,30
Fam101b,Fam101b,0,0,0,0,0,0,0.0,0,0,0,0,0,8,19,8,6,41,9,1,1,0,1,1,6
Fam102a,Fam102a,0,0,0,1,0,4,0.0,0,0,0,0,0,8,17,26,15,55,54,36,58,53,64,93,86
Fam102b,Fam102b,0,0,0,0,3,0,0.0,0,0,0,0,0,1,4,4,4,14,4,20,32,28,33,135,115
Fam103a1,Fam103a1,1,3,6,1,2,0,0.0,0,0,0,0,1,11,28,28,19,43,25,147,197,194,219,282,251
Fam104a,Fam104a,11,4,10,13,12,18,0.0,0,0,1,4,7,32,61,61,63,143,91,705,850,836,993,1198,1147
Fam105a,Fam105a,0,0,2,1,0,2,0.0,0,0,0,0,0,1,2,4,3,6,4,37,42,40,45,106,97
Fam107a,Fam107a,0,0,0,0,0,0,0.0,0,0,0,1,0,13,19,16,22,107,68,2,2,0,0,9,6
Fam107b,Fam107b,2,1,1,2,6,4,0.0,0,0,0,3,2,0,0,0,0,1,2,70,97,76,113,226,199
Fam109a,Fam109a,0,0,0,0,0,1,0.0,0,0,0,0,0,2,2,3,0,8,3,9,16,15,16,61,37
Fam109b,Fam109b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,1
Fam110a,Fam110a,1,2,1,1,3,3,0.0,0,0,1,1,2,1,1,1,1,5,2,6,4,4,3,48,38
Fam110b,Fam110b,0,0,0,0,0,0,0.0,0,0,0,1,0,3,6,4,7,10,9,23,33,27,27,67,74
Fam110c,Fam110c,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fam111a,Fam111a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,5,7,13
Fam114a1,Fam114a1,0,0,0,0,0,0,0.0,0,0,0,0,0,4,12,13,5,19,11,5,4,2,3,7,13
Fam114a2,Fam114a2,4,2,12,12,27,16,0.0,2,0,1,6,11,27,47,42,43,181,134,679,939,907,1113,2095,1849
Fam117a,Fam117a,0,0,0,0,0,0,0.0,0,0,0,0,0,6,5,6,10,17,12,4,2,1,6,6,11
Fam117b,Fam117b,3,0,6,2,8,4,0.0,0,2,0,4,3,11,14,17,8,27,39,174,246,231,268,629,549
Fam118a,Fam118a,0,0,0,4,0,3,0.0,0,0,0,0,1,7,7,6,7,38,20,51,52,45,54,101,95
Fam118b,Fam118b,0,1,0,2,0,3,0.0,0,0,0,0,1,12,11,17,8,21,21,79,120,113,103,212,157
Fam120a,Fam120a,2,2,0,6,9,2,0.0,0,0,0,0,2,14,18,22,30,87,63,209,221,212,273,391,328
Fam120aos,Fam120aos,0,0,0,1,1,0,0.0,0,1,0,1,0,2,3,4,4,3,5,37,54,46,57,92,80
Fam120b,Fam120b,4,0,7,2,5,1,0.0,0,0,0,1,0,14,9,17,15,57,42,154,227,226,264,429,344
Fam120c,Fam120c,1,1,2,0,1,3,0.0,0,1,0,0,1,5,3,8,3,19,11,78,130,122,161,269,227
Fam122a,Fam122a,3,0,3,6,6,5,0.0,0,0,0,4,3,13,16,11,16,50,39,146,255,205,248,426,359
Fam122b,Fam122b,0,0,0,0,1,0,0.0,0,0,0,0,0,1,4,1,2,3,6,2,2,5,7,14,15
Fam122c,Fam122c,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam124a,Fam124a,0,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,3,0,12,19,8,33,76,58
Fam124b,Fam124b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fam126a,Fam126a,0,0,1,0,1,0,0.0,0,0,0,1,0,5,6,5,9,27,20,17,17,25,27,46,58
Fam126b,Fam126b,3,3,3,6,8,19,0.0,0,1,0,7,3,13,11,15,19,70,54,407,598,571,672,1208,1141
Fam129a,Fam129a,0,0,0,0,0,0,0.0,0,0,0,0,0,6,3,5,3,4,1,0,0,2,0,0,0
Fam129b,Fam129b,0,0,0,0,0,2,0.0,0,0,0,0,0,7,11,10,12,32,28,7,6,2,6,13,11
Fam129c,Fam129c,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,1,3,3,10,11,14,15,33,35
Fam131a,Fam131a,1,0,2,2,2,1,0.0,0,0,0,1,0,5,6,10,1,19,10,83,124,96,127,241,220
Fam131b,Fam131b,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,14
Fam131c,Fam131c,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0
Fam132a,Fam132a,2,0,3,7,6,5,0.0,0,1,0,2,3,3,8,10,11,44,28,456,592,519,616,1324,1240
Fam132b,Fam132b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam133b,Fam133b,1,2,6,7,13,6,0.0,0,0,1,0,2,33,52,45,65,139,130,359,569,529,650,1042,949
Fam134a,Fam134a,4,1,3,2,9,12,0.0,0,0,0,4,1,19,57,47,39,124,115,338,433,306,395,953,787
Fam134b,Fam134b,0,0,0,2,1,3,0.0,0,0,0,0,0,19,20,16,15,86,72,52,66,58,89,148,151
Fam134c,Fam134c,0,2,1,2,6,2,0.0,0,1,0,0,0,1,4,7,10,28,18,88,133,100,154,193,212
Fam135a,Fam135a,2,2,3,4,5,3,0.0,0,0,0,1,2,14,19,17,23,87,45,109,118,125,124,277,243
Fam135b,Fam135b,0,2,6,2,6,8,0.0,0,0,0,1,1,0,1,1,1,6,5,407,563,550,673,1140,998
Fam136a,Fam136a,0,2,0,1,3,7,0.0,0,0,0,0,1,7,10,8,9,32,27,121,135,133,169,347,300
Fam136b-ps,Fam136b-ps,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1
Fam13a,Fam13a,2,0,0,0,0,0,0.0,0,0,0,0,0,1,3,5,4,15,11,2,7,11,18,24,29
Fam13b,Fam13b,3,2,5,4,6,5,0.0,0,0,0,3,3,43,57,42,54,164,133,227,298,292,377,766,662
Fam13c,Fam13c,4,3,3,11,6,10,0.0,0,1,0,0,1,12,10,8,7,20,18,655,867,857,1019,1089,961
Fam149a,Fam149a,1,2,3,3,9,5,0.0,1,0,0,1,7,8,4,8,3,20,25,9,1,6,13,44,30
Fam149b,Fam149b,0,0,0,4,6,6,0.0,0,0,0,4,1,1,5,3,3,27,15,66,108,73,109,265,244
Fam150b,Fam150b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Fam151a,Fam151a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fam151b,Fam151b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,4,3
Fam155a,Fam155a,2,1,2,6,2,8,0.0,0,0,0,0,0,0,4,0,1,4,5,288,395,443,549,1224,1066
Fam159a,Fam159a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam159b,Fam159b,0,0,0,0,0,0,0.0,0,0,0,0,0,6,12,7,11,33,45,0,1,1,1,0,1
Fam160a1,Fam160a1,0,0,1,1,1,2,0.0,0,0,0,0,0,0,1,1,1,5,3,19,44,25,40,28,43
Fam160a2,Fam160a2,0,0,0,1,3,4,0.0,0,0,0,0,0,6,7,0,10,23,9,67,86,75,117,159,134
Fam160b1,Fam160b1,2,1,2,3,6,2,0.0,0,0,0,2,0,9,13,12,11,35,39,126,175,175,202,358,344
Fam160b2,Fam160b2,2,1,0,2,1,2,0.0,0,0,0,1,2,7,8,12,10,30,12,87,121,88,134,190,159
Fam161a,Fam161a,10,10,5,28,70,59,0.0,1,3,0,15,30,3,2,8,6,13,11,238,334,314,375,904,837
Fam161b,Fam161b,2,0,2,0,2,0,0.0,1,0,0,0,0,5,5,7,6,18,19,37,39,38,55,119,96
Fam162a,Fam162a,9,1,1,5,19,11,0.0,0,0,2,6,3,91,103,95,131,294,219,462,553,412,555,1244,1163
Fam163a,Fam163a,0,0,0,1,3,0,0.0,0,0,0,0,1,0,0,0,0,2,1,80,128,84,145,351,287
Fam163b,Fam163b,1,1,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,27,39,29,41,62,73
Fam166a,Fam166a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
Fam166b,Fam166b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,2,3
Fam167a,Fam167a,0,0,0,0,0,0,0.0,0,0,0,0,0,3,1,3,5,18,8,0,0,1,1,0,2
Fam167b,Fam167b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Fam168a,Fam168a,10,5,4,12,30,15,0.0,0,0,0,6,3,139,173,191,212,736,546,535,699,766,890,2519,2177
Fam168b,Fam168b,0,0,5,3,14,5,0.0,1,0,0,1,2,33,52,51,52,160,100,240,336,324,341,705,625
Fam169a,Fam169a,11,16,13,23,33,24,0.0,2,3,4,9,5,236,355,323,372,1212,1057,1189,1637,1555,1921,3095,2695
Fam169b,Fam169b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,3,0
Fam170b,Fam170b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fam171a1,Fam171a1,0,0,0,2,5,0,0.0,0,0,0,0,0,0,2,1,1,3,6,12,24,21,21,85,78
Fam171a2,Fam171a2,0,0,0,1,2,0,0.0,0,0,0,0,0,1,10,8,6,31,35,40,40,46,74,147,160
Fam171b,Fam171b,8,11,19,32,30,33,0.0,0,0,1,7,8,104,133,164,180,700,545,1539,1954,1909,2169,4578,4172
Fam172a,Fam172a,1,2,0,4,6,8,0.0,0,0,0,4,1,28,40,16,33,108,51,227,342,352,396,624,538
Fam173a,Fam173a,4,2,9,8,14,7,0.0,0,0,1,2,2,34,39,52,47,133,96,537,590,571,714,1237,1067
Fam173b,Fam173b,0,0,0,1,1,0,0.0,1,0,0,0,0,6,6,6,8,30,21,27,42,31,51,143,107
Fam174a,Fam174a,4,3,3,5,6,5,0.0,0,0,0,2,2,24,36,31,30,90,93,338,379,395,426,689,645
Fam174b,Fam174b,0,0,0,0,0,0,0.0,0,0,0,0,0,10,18,16,11,39,22,1,0,0,4,8,15
Fam175a,Fam175a,1,1,0,0,3,1,0.0,0,0,0,0,0,7,5,5,10,18,15,36,40,48,60,118,100
Fam175b,Fam175b,1,1,0,7,1,6,0.0,0,1,0,0,1,6,21,18,10,63,25,161,216,208,223,346,298
Fam178a,Fam178a,2,3,4,7,10,12,0.0,0,0,0,6,2,18,32,50,22,63,44,402,552,517,634,923,861
Fam178b,Fam178b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3
Fam179a,Fam179a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0
Fam179b,Fam179b,2,2,2,2,11,3,0.0,0,0,0,2,0,6,6,5,5,33,19,123,151,143,196,275,236
Fam181a,Fam181a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fam183b,Fam183b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,28,16
Fam184a,Fam184a,2,2,8,12,17,22,0.0,0,0,0,3,3,30,15,36,28,123,81,589,710,766,912,2517,2098
Fam184b,Fam184b,6,3,6,13,5,6,0.0,0,0,0,3,2,33,59,49,67,192,152,579,826,751,908,1139,1060
Fam185a,Fam185a,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,2,2,20,16,21,19,41,42
Fam186a,Fam186a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0
Fam186b,Fam186b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1
Fam187a,Fam187a,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fam187b,Fam187b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,3
Fam188a,Fam188a,0,2,3,1,3,3,0.0,1,0,0,2,2,8,9,19,9,23,32,192,241,256,302,377,358
Fam188b,Fam188b,0,0,0,0,0,0,0.0,0,0,0,0,0,2,2,2,3,7,9,2,5,9,2,16,14
Fam189a1,Fam189a1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,16,21,26
Fam189a2,Fam189a2,0,1,1,1,1,2,0.0,0,0,0,0,0,3,9,9,3,11,9,98,146,112,142,321,249
Fam189b,Fam189b,0,0,1,2,2,0,0.0,0,1,0,0,0,4,11,10,14,27,32,50,56,43,83,122,120
Fam192a,Fam192a,3,1,3,11,12,14,0.0,0,0,3,2,4,42,43,61,46,152,119,333,506,471,562,1005,880
Fam193a,Fam193a,3,3,4,14,20,8,0.0,0,0,0,5,1,16,25,35,44,112,91,258,395,374,468,912,797
Fam193b,Fam193b,1,0,1,3,7,2,0.0,0,0,1,0,0,11,14,17,9,41,36,197,295,273,371,478,402
Fam195a,Fam195a,0,0,0,2,0,0,0.0,0,0,0,0,1,3,4,3,5,13,7,19,17,17,35,53,53
Fam195b,Fam195b,2,1,2,5,4,4,0.0,0,0,0,3,0,26,44,37,45,152,98,346,404,357,412,939,772
Fam196a,Fam196a,3,0,2,13,8,7,0.0,0,0,0,0,0,0,3,4,3,2,8,483,835,750,935,1609,1377
Fam196b,Fam196b,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,6,4
