436D,gene_id,gene_name,gene_type,gene_length,gene_count,RPK,TPM,log2(TPM+1)
9355,ENSMUSG00000105665.2,Gm38395,processed_pseudogene,830,0,0.0,0.0,0.0
9356,ENSMUSG00000083079.5,Amy2b,unprocessed_pseudogene,1577,0,0.0,0.0,0.0
9357,ENSMUSG00000081506.2,Amy2-ps1,unprocessed_pseudogene,1117,0,0.0,0.0,0.0
9358,ENSMUSG00000074268.5,Amy2a5,protein_coding,3973,0,0.0,0.0,0.0
9359,ENSMUSG00000096770.3,Amy2a4,protein_coding,3717,0,0.0,0.0,0.0
9360,ENSMUSG00000093931.3,Amy2a3,protein_coding,3717,0,0.0,0.0,0.0
9361,ENSMUSG00000096569.3,Amy2a2,protein_coding,3717,0,0.0,0.0,0.0
9362,ENSMUSG00000070360.6,Amy2a1,protein_coding,890,0,0.0,0.0,0.0
9363,ENSMUSG00000074264.13,Amy1,protein_coding,3446,0,0.0,0.0,0.0
9364,ENSMUSG00000027981.15,Rnpc3,protein_coding,6627,2,0.3017956843217142,7.392898685307131,3.0691691654532307
9365,ENSMUSG00000105836.2,Gm17954,processed_pseudogene,607,0,0.0,0.0,0.0
9366,ENSMUSG00000106454.2,Gm17775,processed_pseudogene,258,0,0.0,0.0,0.0
9367,ENSMUSG00000106084.2,Gm18163,processed_pseudogene,1643,0,0.0,0.0,0.0
9368,ENSMUSG00000027966.21,Col11a1,protein_coding,12744,3,0.2354048964218456,5.7665653940125186,2.758423729461003
9369,ENSMUSG00000106452.2,Gm43749,processed_pseudogene,352,0,0.0,0.0,0.0
9370,ENSMUSG00000077410.3,Gm23750,snoRNA,132,0,0.0,0.0,0.0
9371,ENSMUSG00000105225.2,Gm19147,processed_pseudogene,652,0,0.0,0.0,0.0
9372,ENSMUSG00000027965.16,Olfm3,protein_coding,4938,0,0.0,0.0,0.0
9373,ENSMUSG00000106510.2,Gm18429,processed_pseudogene,421,0,0.0,0.0,0.0
9374,ENSMUSG00000088346.3,Gm22337,snoRNA,132,0,0.0,0.0,0.0
9375,ENSMUSG00002075856.1,ENSMUSG00002075856,miRNA,121,0,0.0,0.0,0.0
9376,ENSMUSG00000105829.2,Gm43669,processed_pseudogene,436,1,2.293577981651376,56.184334389369674,5.837548070663589
9377,ENSMUSG00000045092.9,S1pr1,protein_coding,3046,11,3.6112934996717008,88.46358100177838,6.483228601833818
9378,ENSMUSG00000052769.8,Gm9889,lncRNA,1579,0,0.0,0.0,0.0
9379,ENSMUSG00000054426.12,A930005H10Rik,lncRNA,2385,0,0.0,0.0,0.0
9380,ENSMUSG00000033554.18,Dph5,protein_coding,8027,1,0.12457954403886883,3.051746579514785,2.018543942176881
9381,ENSMUSG00000105108.2,Gm42687,TEC,164,0,0.0,0.0,0.0
9382,ENSMUSG00000105017.2,Gm43107,TEC,255,0,0.0,0.0,0.0
9383,ENSMUSG00000104803.2,Gm43108,TEC,293,0,0.0,0.0,0.0
9384,ENSMUSG00000054414.5,Slc30a7,protein_coding,11116,6,0.5397625044980209,13.22222191099236,3.8300749669866874
9385,ENSMUSG00000104723.2,Gm43106,processed_pseudogene,637,0,0.0,0.0,0.0
9386,ENSMUSG00000105645.2,Gm6649,processed_pseudogene,1165,0,0.0,0.0,0.0
9387,ENSMUSG00000089261.3,Mir669n,miRNA,54,0,0.0,0.0,0.0
9388,ENSMUSG00000027963.15,Extl2,protein_coding,3447,3,0.8703220191470844,21.319730020683355,4.48024767132969
9389,ENSMUSG00000119256.1,ENSMUSG00000119256,snoRNA,132,0,0.0,0.0,0.0
9390,ENSMUSG00000027962.15,Vcam1,protein_coding,8870,11,1.2401352874859077,30.378812596552084,4.971718855304356
9391,ENSMUSG00000104653.2,Gm43109,lncRNA,753,0,0.0,0.0,0.0
9392,ENSMUSG00000105729.2,5330425B07Rik,TEC,1027,0,0.0,0.0,0.0
9393,ENSMUSG00000097362.2,Gm26544,lncRNA,2763,0,0.0,0.0,0.0
9394,ENSMUSG00000104607.2,Gm31651,lncRNA,560,0,0.0,0.0,0.0
9395,ENSMUSG00000068696.7,Gpr88,protein_coding,3504,0,0.0,0.0,0.0
9396,ENSMUSG00000033502.16,Cdc14a,protein_coding,12456,1,0.08028259473346179,1.9666321285938646,1.5688260393366191
9397,ENSMUSG00000106005.2,Gm29151,lncRNA,2513,0,0.0,0.0,0.0
9398,ENSMUSG00000089060.4,Gm22361,snRNA,176,0,0.0,0.0,0.0
9399,ENSMUSG00000088840.3,Gm26358,snoRNA,97,0,0.0,0.0,0.0
9400,ENSMUSG00000000339.15,Rtca,protein_coding,1880,6,3.191489361702128,78.17990359712292,6.307062405750733
9401,ENSMUSG00000000340.11,Dbt,protein_coding,3348,0,0.0,0.0,0.0
9402,ENSMUSG00000082394.2,Gm4596,processed_pseudogene,442,0,0.0,0.0,0.0
9403,ENSMUSG00000105992.2,Gm43651,TEC,439,0,0.0,0.0,0.0
9404,ENSMUSG00000034437.9,Gm9761,processed_pseudogene,492,0,0.0,0.0,0.0
9405,ENSMUSG00000027961.8,Lrrc39,protein_coding,5230,0,0.0,0.0,0.0
9406,ENSMUSG00000106025.2,Gm42940,TEC,2362,0,0.0,0.0,0.0
9407,ENSMUSG00000033439.13,Trmt13,protein_coding,6134,0,0.0,0.0,0.0
9408,ENSMUSG00000027959.15,Sass6,protein_coding,6121,2,0.326743996079072,8.004041755845508,3.170572747242042
9409,ENSMUSG00000106415.2,Gm42893,lncRNA,1502,0,0.0,0.0,0.0
9410,ENSMUSG00000089911.5,Mfsd14a,protein_coding,7466,2,0.2678810608090008,6.5621135263233805,2.9187895079649704
9411,ENSMUSG00000105339.2,Gm42457,lncRNA,367,0,0.0,0.0,0.0
9412,ENSMUSG00000105103.2,Gm43191,protein_coding,704,0,0.0,0.0,0.0
9413,ENSMUSG00000106125.2,4930512P04Rik,lncRNA,424,0,0.0,0.0,0.0
9414,ENSMUSG00000027957.14,Slc35a3,protein_coding,10786,4,0.3708511032820323,9.084505764422465,3.3340684749523595
9415,ENSMUSG00000033400.15,Agl,protein_coding,14023,11,0.7844255865364045,19.21557924348691,4.337395637093731
9416,ENSMUSG00000106128.2,Gm43520,TEC,164,0,0.0,0.0,0.0
9417,ENSMUSG00000106511.2,Gm43521,TEC,255,0,0.0,0.0,0.0
9418,ENSMUSG00000105250.2,Gm29736,processed_pseudogene,385,0,0.0,0.0,0.0
9419,ENSMUSG00000105241.2,Gm43542,processed_pseudogene,379,0,0.0,0.0,0.0
9420,ENSMUSG00000033386.11,Frrs1,protein_coding,7260,20,2.7548209366391188,67.4831123795184,6.097676364857449
9421,ENSMUSG00000033377.15,Palmd,protein_coding,7273,0,0.0,0.0,0.0
9422,ENSMUSG00000106073.2,Gm42892,TEC,3973,0,0.0,0.0,0.0
9423,ENSMUSG00000080907.2,4930455H04Rik,protein_coding,1341,0,0.0,0.0,0.0
9424,ENSMUSG00000105221.2,Gm9332,processed_pseudogene,730,0,0.0,0.0,0.0
9425,ENSMUSG00000028009.8,1700061I17Rik,lncRNA,1962,0,0.0,0.0,0.0
9426,ENSMUSG00000106343.2,Gm18430,processed_pseudogene,682,0,0.0,0.0,0.0
9427,ENSMUSG00000106314.2,Gm9632,processed_pseudogene,643,0,0.0,0.0,0.0
9428,ENSMUSG00000105914.2,Gm19243,processed_pseudogene,269,0,0.0,0.0,0.0
9429,ENSMUSG00000106342.2,Gm42891,lncRNA,281,0,0.0,0.0,0.0
9430,ENSMUSG00000044667.13,Plppr4,protein_coding,7144,0,0.0,0.0,0.0
9431,ENSMUSG00002076381.1,ENSMUSG00002076381,miRNA,65,0,0.0,0.0,0.0
9432,ENSMUSG00000033342.16,Plppr5,protein_coding,4893,0,0.0,0.0,0.0
9433,ENSMUSG00000028007.14,Snx7,protein_coding,6147,7,1.138766878151944,27.89565455610155,4.852780645684976
9434,ENSMUSG00002076621.1,ENSMUSG00002076621,miRNA,100,0,0.0,0.0,0.0
9435,ENSMUSG00000104678.2,Gm4321,processed_pseudogene,442,0,0.0,0.0,0.0
9436,ENSMUSG00000104703.2,4921521D15Rik,lncRNA,1927,0,0.0,0.0,0.0
9437,ENSMUSG00000097311.8,Gm26871,lncRNA,5308,0,0.0,0.0,0.0
9438,ENSMUSG00000065569.4,Mir137,miRNA,73,0,0.0,0.0,0.0
9439,ENSMUSG00002075293.1,ENSMUSG00002075293,miRNA,110,0,0.0,0.0,0.0
9440,ENSMUSG00000104178.2,Gm9916,lncRNA,1228,0,0.0,0.0,0.0
9441,ENSMUSG00000104033.2,Gm37773,TEC,2120,0,0.0,0.0,0.0
9442,ENSMUSG00000104362.2,Gm37928,TEC,4131,0,0.0,0.0,0.0
9443,ENSMUSG00000102729.2,Gm32444,TEC,3511,0,0.0,0.0,0.0
9444,ENSMUSG00000033308.17,Dpyd,protein_coding,8884,0,0.0,0.0,0.0
9445,ENSMUSG00000106542.2,Gm43410,TEC,2234,0,0.0,0.0,0.0
9446,ENSMUSG00000087806.3,Gm23432,snoRNA,131,0,0.0,0.0,0.0
9447,ENSMUSG00000106037.2,Gm4332,processed_pseudogene,346,0,0.0,0.0,0.0
9448,ENSMUSG00000028134.12,Ptbp2,protein_coding,9175,2,0.217983651226158,5.339808129431101,2.6644391787074335
9449,ENSMUSG00000105572.2,Gm43300,TEC,2043,0,0.0,0.0,0.0
9450,ENSMUSG00000106099.2,Gm42664,lncRNA,3239,0,0.0,0.0,0.0
9451,ENSMUSG00000106075.2,Gm42804,processed_pseudogene,178,0,0.0,0.0,0.0
9452,ENSMUSG00002076635.1,ENSMUSG00002076635,miRNA,121,0,0.0,0.0,0.0
9453,ENSMUSG00002076177.1,ENSMUSG00002076177,miRNA,121,0,0.0,0.0,0.0
9454,ENSMUSG00000104726.2,Gm18384,processed_pseudogene,808,0,0.0,0.0,0.0
9455,ENSMUSG00000065684.3,Gm23733,snRNA,106,0,0.0,0.0,0.0
9456,ENSMUSG00000098097.8,6530403H02Rik,lncRNA,4009,0,0.0,0.0,0.0
9457,ENSMUSG00000089027.3,Gm25013,snoRNA,128,0,0.0,0.0,0.0
9458,ENSMUSG00000105207.2,Gm42927,processed_pseudogene,3841,0,0.0,0.0,0.0
9459,ENSMUSG00000105243.2,Gm43444,TEC,291,0,0.0,0.0,0.0
9460,ENSMUSG00000104749.2,Gm42926,TEC,697,0,0.0,0.0,0.0
9461,ENSMUSG00000028133.18,Rwdd3,protein_coding,5065,1,0.19743336623889435,4.836400749015829,2.545078947472401
9462,ENSMUSG00000106329.2,Gm10652,TEC,2622,0,0.0,0.0,0.0
9463,ENSMUSG00000098042.2,Gm5710,processed_pseudogene,995,0,0.0,0.0,0.0
9464,ENSMUSG00000028132.16,Tlcd4,protein_coding,7874,0,0.0,0.0,0.0
9465,ENSMUSG00000106619.2,Gm9353,processed_pseudogene,604,0,0.0,0.0,0.0
9466,ENSMUSG00000104902.2,Gm30517,processed_pseudogene,772,0,0.0,0.0,0.0
9467,ENSMUSG00000039887.12,Alg14,protein_coding,2502,9,3.5971223021582737,88.116438107069,6.477619665671668
9468,ENSMUSG00002075985.1,7SK,misc_RNA,268,0,0.0,0.0,0.0
9469,ENSMUSG00000106455.2,Gm5711,processed_pseudogene,421,0,0.0,0.0,0.0
9470,ENSMUSG00000105813.2,Gm42928,TEC,3339,0,0.0,0.0,0.0
9471,ENSMUSG00000053931.12,Cnn3,protein_coding,3037,20,6.585446163977609,161.31952448972788,7.342692733655442
9472,ENSMUSG00000106022.2,Gm42929,TEC,1286,0,0.0,0.0,0.0
9473,ENSMUSG00000039865.9,Slc44a3,protein_coding,5057,0,0.0,0.0,0.0
9474,ENSMUSG00000097124.3,A530020G20Rik,lncRNA,3773,0,0.0,0.0,0.0
9475,ENSMUSG00000044522.9,A730020M07Rik,lncRNA,2687,0,0.0,0.0,0.0
9476,ENSMUSG00000074248.8,4930432M17Rik,protein_coding,1128,0,0.0,0.0,0.0
9477,ENSMUSG00000106036.2,Gm43608,lncRNA,687,0,0.0,0.0,0.0
9478,ENSMUSG00000105767.2,Gm43607,lncRNA,336,0,0.0,0.0,0.0
9479,ENSMUSG00000106224.2,Gm43823,TEC,1808,0,0.0,0.0,0.0
9480,ENSMUSG00000028128.14,F3,protein_coding,2527,6,2.374356944994064,58.16312574696916,5.886626370795014
9481,ENSMUSG00000104676.2,Gm42777,TEC,3603,0,0.0,0.0,0.0
9482,ENSMUSG00000028127.11,Abcd3,protein_coding,6593,3,0.45502806006370394,11.146535625860086,3.6024729891232736
9483,ENSMUSG00000106087.2,Gm43609,TEC,2712,0,0.0,0.0,0.0
9484,ENSMUSG00000105597.2,4633401B06Rik,TEC,1073,0,0.0,0.0,0.0
9485,ENSMUSG00000105889.2,Gm42776,processed_pseudogene,406,0,0.0,0.0,0.0
9486,ENSMUSG00000104595.2,Gm42593,processed_pseudogene,377,0,0.0,0.0,0.0
9487,ENSMUSG00000039831.17,Arhgap29,protein_coding,8815,9,1.0209869540555871,25.0104739811556,4.701020784211796
9488,ENSMUSG00000104869.2,Gm42544,TEC,3242,0,0.0,0.0,0.0
9489,ENSMUSG00000028125.15,Abca4,protein_coding,12022,0,0.0,0.0,0.0
9490,ENSMUSG00000104887.2,Gm43158,unprocessed_pseudogene,1555,0,0.0,0.0,0.0
9491,ENSMUSG00000105351.2,Gm43157,processed_pseudogene,412,0,0.0,0.0,0.0
9492,ENSMUSG00000104799.2,Gm9361,processed_pseudogene,1507,0,0.0,0.0,0.0
9493,ENSMUSG00000078592.3,Gm4609,processed_pseudogene,1002,0,0.0,0.0,0.0
9494,ENSMUSG00002076165.1,ENSMUSG00002076165,miRNA,102,0,0.0,0.0,0.0
9495,ENSMUSG00000028124.16,Gclm,protein_coding,6291,17,2.702273088539183,66.19588086059578,6.07030089271087
9496,ENSMUSG00000057359.8,Gm17494,lncRNA,8421,0,0.0,0.0,0.0
9497,ENSMUSG00000093392.2,Gm6061,transcribed_processed_pseudogene,492,0,0.0,0.0,0.0
9498,ENSMUSG00000039756.13,Dnttip2,protein_coding,3309,13,3.9286793593230582,96.2383823871101,6.603453988444198
9499,ENSMUSG00000105057.2,Gm40190,lncRNA,471,0,0.0,0.0,0.0
9500,ENSMUSG00000076456.3,Mir760,miRNA,119,0,0.0,0.0,0.0
9501,ENSMUSG00000028121.9,Bcar3,protein_coding,5604,6,1.0706638115631693,26.22737665285351,4.766986080859243
9502,ENSMUSG00000104554.2,Gm4610,lncRNA,905,0,0.0,0.0,0.0
9503,ENSMUSG00000104574.2,Gm42836,lncRNA,728,0,0.0,0.0,0.0
9504,ENSMUSG00002075702.1,U1,snRNA,156,0,0.0,0.0,0.0
9505,ENSMUSG00000039735.17,Fnbp1l,protein_coding,12376,7,0.5656108597285068,13.855412779278947,3.8929167880004423
9506,ENSMUSG00000104773.3,Mir7657,miRNA,57,0,0.0,0.0,0.0
9507,ENSMUSG00000106194.2,Gm43569,lncRNA,559,0,0.0,0.0,0.0
9508,ENSMUSG00000106364.2,Gm42994,TEC,2549,0,0.0,0.0,0.0
9509,ENSMUSG00000106365.2,Gm43568,lncRNA,1844,0,0.0,0.0,0.0
9510,ENSMUSG00000106562.2,Gm5981,processed_pseudogene,487,0,0.0,0.0,0.0
9511,ENSMUSG00000053965.11,Pde5a,protein_coding,9831,0,0.0,0.0,0.0
9512,ENSMUSG00000106583.2,4930447N08Rik,lncRNA,1650,0,0.0,0.0,0.0
9513,ENSMUSG00000106376.2,Gm34139,transcribed_processed_pseudogene,294,0,0.0,0.0,0.0
9514,ENSMUSG00000106059.2,Gm9364,processed_pseudogene,460,0,0.0,0.0,0.0
9515,ENSMUSG00000097852.6,4933405D12Rik,lncRNA,1479,0,0.0,0.0,0.0
9516,ENSMUSG00000023057.6,Fabp2,protein_coding,965,0,0.0,0.0,0.0
9517,ENSMUSG00000078590.2,Gm10959,protein_coding,72,0,0.0,0.0,0.0
9518,ENSMUSG00000054091.10,1810037I17Rik,protein_coding,1160,2,1.7241379310344829,42.2351203340779,5.434131799572225
9519,ENSMUSG00000039701.12,Usp53,protein_coding,12572,1,0.07954183900731786,1.948486302399394,1.5599744919362
9520,ENSMUSG00000105478.2,Gm43285,TEC,3592,0,0.0,0.0,0.0
9521,ENSMUSG00000028116.14,Myoz2,protein_coding,3423,0,0.0,0.0,0.0
9522,ENSMUSG00002075254.1,ENSMUSG00002075254,miRNA,110,0,0.0,0.0,0.0
9523,ENSMUSG00000106114.2,Gm43286,processed_pseudogene,424,0,0.0,0.0,0.0
9524,ENSMUSG00000050315.15,Synpo2,protein_coding,13089,0,0.0,0.0,0.0
9525,ENSMUSG00000106012.2,Gm43744,processed_pseudogene,688,0,0.0,0.0,0.0
9526,ENSMUSG00000105562.2,Gm43287,TEC,600,0,0.0,0.0,0.0
9527,ENSMUSG00000106220.2,Gm43288,TEC,2628,0,0.0,0.0,0.0
9528,ENSMUSG00000106490.2,Gm43283,TEC,2548,0,0.0,0.0,0.0
9529,ENSMUSG00000039234.12,Sec24d,protein_coding,6325,35,5.533596837944664,135.55303443190215,7.093317563278995
9530,ENSMUSG00000028114.17,Mettl14,protein_coding,7419,2,0.2695781102574471,6.603685077170826,2.9266987809327483
9531,ENSMUSG00000080545.3,Gm22713,snRNA,130,0,0.0,0.0,0.0
9532,ENSMUSG00000105784.2,Gm35065,lncRNA,428,0,0.0,0.0,0.0
9533,ENSMUSG00000027978.10,Prss12,protein_coding,2602,0,0.0,0.0,0.0
9534,ENSMUSG00000105058.2,Gm43590,TEC,387,0,0.0,0.0,0.0
9535,ENSMUSG00000104960.2,Snhg8,lncRNA,853,0,0.0,0.0,0.0
9536,ENSMUSG00000092730.3,Snora24,snoRNA,130,0,0.0,0.0,0.0
9537,ENSMUSG00000104670.2,Gm9369,processed_pseudogene,733,0,0.0,0.0,0.0
9538,ENSMUSG00000027977.16,Ndst3,protein_coding,9878,0,0.0,0.0,0.0
9539,ENSMUSG00000104860.2,Gm42510,TEC,2258,0,0.0,0.0,0.0
9540,ENSMUSG00000119894.1,U6,snRNA,107,0,0.0,0.0,0.0
9541,ENSMUSG00000080842.3,Gm15400,processed_pseudogene,601,0,0.0,0.0,0.0
9542,ENSMUSG00000081939.3,Gm15399,processed_pseudogene,724,0,0.0,0.0,0.0
9543,ENSMUSG00000104531.2,Gm43731,lncRNA,666,0,0.0,0.0,0.0
9544,ENSMUSG00000090474.4,Gm9372,transcribed_processed_pseudogene,430,0,0.0,0.0,0.0
9545,ENSMUSG00000106238.2,Gm42824,processed_pseudogene,247,0,0.0,0.0,0.0
9546,ENSMUSG00000044528.6,Tram1l1,protein_coding,3889,0,0.0,0.0,0.0
9547,ENSMUSG00000096544.3,Gm4617,processed_pseudogene,331,0,0.0,0.0,0.0
9548,ENSMUSG00000106150.3,4921527H02Rik,TEC,1673,0,0.0,0.0,0.0
9549,ENSMUSG00000027973.12,1700006A11Rik,protein_coding,2161,0,0.0,0.0,0.0
9550,ENSMUSG00000064915.3,Gm22575,snRNA,110,0,0.0,0.0,0.0
9551,ENSMUSG00000106413.2,Gm42823,lncRNA,256,0,0.0,0.0,0.0
9552,ENSMUSG00000119192.1,ENSMUSG00000119192,snoRNA,130,0,0.0,0.0,0.0
9553,ENSMUSG00000039174.15,1700003H04Rik,protein_coding,1591,0,0.0,0.0,0.0
9554,ENSMUSG00000106009.2,Gm9379,processed_pseudogene,646,0,0.0,0.0,0.0
9555,ENSMUSG00000106423.2,Gm42825,lncRNA,723,0,0.0,0.0,0.0
9556,ENSMUSG00002076850.1,7SK,misc_RNA,298,0,0.0,0.0,0.0
9557,ENSMUSG00000098033.3,Gm9381,processed_pseudogene,1012,3,2.9644268774703555,72.61769701709045,6.201980713476611
9558,ENSMUSG00000106001.2,Gm42826,TEC,2639,0,0.0,0.0,0.0
9559,ENSMUSG00000027971.17,Ndst4,protein_coding,11720,0,0.0,0.0,0.0
9560,ENSMUSG00000032854.13,Ugt8a,protein_coding,4536,0,0.0,0.0,0.0
9561,ENSMUSG00002076235.1,7SK,misc_RNA,268,0,0.0,0.0,0.0
9562,ENSMUSG00000106503.2,Gm42827,lncRNA,1515,0,0.0,0.0,0.0
9563,ENSMUSG00000106094.2,Gm18916,processed_pseudogene,1246,0,0.0,0.0,0.0
9564,ENSMUSG00000046561.10,Arsj,protein_coding,3859,0,0.0,0.0,0.0
9565,ENSMUSG00000090427.2,Gm17225,lncRNA,497,0,0.0,0.0,0.0
9566,ENSMUSG00000105695.2,Gm43327,TEC,4055,0,0.0,0.0,0.0
9567,ENSMUSG00000105233.2,Gm20568,processed_pseudogene,208,2,9.615384615384615,235.5420172477421,7.885952663786749
9568,ENSMUSG00000053819.17,Camk2d,protein_coding,22493,26,1.1559151736095674,28.315725542964238,4.8736028577204475
9569,ENSMUSG00000106475.2,Gm43011,TEC,4433,0,0.0,0.0,0.0
9570,ENSMUSG00000104571.2,Gm43010,TEC,2878,0,0.0,0.0,0.0
9571,ENSMUSG00000105586.2,Gm43009,TEC,3566,0,0.0,0.0,0.0
9572,ENSMUSG00000105774.2,Gm43006,TEC,1602,0,0.0,0.0,0.0
9573,ENSMUSG00000104906.2,Gm43005,TEC,648,0,0.0,0.0,0.0
9574,ENSMUSG00000086679.3,Gm15551,lncRNA,535,0,0.0,0.0,0.0
9575,ENSMUSG00000105378.2,Gm42515,TEC,3583,0,0.0,0.0,0.0
9576,ENSMUSG00000105553.2,Gm42514,TEC,1832,0,0.0,0.0,0.0
9577,ENSMUSG00000032826.20,Ank2,protein_coding,35510,5,0.14080540692762603,3.4492213170607124,2.1535528640979984
9578,ENSMUSG00000105469.2,A930036I15Rik,TEC,1045,0,0.0,0.0,0.0
9579,ENSMUSG00000105939.2,Gm43322,TEC,1612,0,0.0,0.0,0.0
9580,ENSMUSG00000105119.2,Gm43765,TEC,893,0,0.0,0.0,0.0
9581,ENSMUSG00000077617.3,Gm25501,snoRNA,132,0,0.0,0.0,0.0
9582,ENSMUSG00000106612.2,Gm43750,TEC,2493,0,0.0,0.0,0.0
9583,ENSMUSG00000105322.2,Gm43751,TEC,3071,0,0.0,0.0,0.0
9584,ENSMUSG00000104963.2,Gm42974,TEC,2654,0,0.0,0.0,0.0
9585,ENSMUSG00000097456.8,Gm16958,lncRNA,1835,0,0.0,0.0,0.0
9586,ENSMUSG00000105202.2,C230031I18Rik,TEC,3698,0,0.0,0.0,0.0
9587,ENSMUSG00000105733.2,Gm42973,TEC,3200,0,0.0,0.0,0.0
9588,ENSMUSG00000105445.2,Gm42972,TEC,5617,0,0.0,0.0,0.0
9589,ENSMUSG00000105568.2,Gm42971,TEC,2079,0,0.0,0.0,0.0
9590,ENSMUSG00000106446.2,Gm42970,TEC,1352,0,0.0,0.0,0.0
9591,ENSMUSG00000105822.2,Gm42969,TEC,3631,0,0.0,0.0,0.0
9592,ENSMUSG00000106369.2,Gm43355,transcribed_unprocessed_pseudogene,346,0,0.0,0.0,0.0
9593,ENSMUSG00000105969.2,Gm42525,transcribed_processed_pseudogene,527,0,0.0,0.0,0.0
9594,ENSMUSG00002075047.1,ENSMUSG00002075047,miRNA,129,0,0.0,0.0,0.0
9595,ENSMUSG00000104957.2,Gm43354,processed_pseudogene,346,0,0.0,0.0,0.0
9596,ENSMUSG00000027968.12,Larp7,protein_coding,2366,1,0.42265426880811496,10.353495263637015,3.5050646059043378
9597,ENSMUSG00000076252.3,Mir302b,miRNA,74,0,0.0,0.0,0.0
9598,ENSMUSG00000065482.3,Mir302c,miRNA,68,0,0.0,0.0,0.0
9599,ENSMUSG00000065552.3,Mir302a,miRNA,69,0,0.0,0.0,0.0
9600,ENSMUSG00000065447.3,Mir302d,miRNA,66,0,0.0,0.0,0.0
9601,ENSMUSG00000065413.4,Mir367,miRNA,75,0,0.0,0.0,0.0
9602,ENSMUSG00000051278.13,Zgrf1,protein_coding,10553,6,0.5685587036861556,13.927624254959829,3.899912672394891
9603,ENSMUSG00000105104.2,Gm43729,lncRNA,499,0,0.0,0.0,0.0
9604,ENSMUSG00000027967.9,Neurog2,protein_coding,2227,0,0.0,0.0,0.0
9605,ENSMUSG00000028028.12,Alpk1,protein_coding,6868,1,0.145602795573675,3.5667399233787385,2.19116463032592
9606,ENSMUSG00000089988.3,Gm16238,processed_pseudogene,586,0,0.0,0.0,0.0
9607,ENSMUSG00000104888.2,1500005C15Rik,TEC,2394,0,0.0,0.0,0.0
9608,ENSMUSG00000105701.2,Gm42587,TEC,1981,0,0.0,0.0,0.0
9609,ENSMUSG00002075442.1,5S_rRNA,rRNA,97,0,0.0,0.0,0.0
9610,ENSMUSG00000046688.15,Tifa,protein_coding,3199,0,0.0,0.0,0.0
9611,ENSMUSG00000074238.7,Ap1ar,protein_coding,8763,1,0.11411617026132603,2.795431906169711,1.924264068363819
9612,ENSMUSG00000105804.2,Gm43654,TEC,3417,0,0.0,0.0,0.0
9613,ENSMUSG00000105447.2,Gm43653,lncRNA,1608,0,0.0,0.0,0.0
9614,ENSMUSG00000105550.2,Gm35585,lncRNA,1570,0,0.0,0.0,0.0
9615,ENSMUSG00000105008.2,Gm43652,TEC,675,0,0.0,0.0,0.0
9616,ENSMUSG00000050549.9,Fam241a,protein_coding,2265,0,0.0,0.0,0.0
9617,ENSMUSG00000104763.2,9830132P13Rik,lncRNA,4187,0,0.0,0.0,0.0
9618,ENSMUSG00000106437.2,Gm35667,lncRNA,711,0,0.0,0.0,0.0
9619,ENSMUSG00000074237.4,Gm10650,TEC,1969,0,0.0,0.0,0.0
9620,ENSMUSG00000105816.5,D030025E07Rik,lncRNA,3854,0,0.0,0.0,0.0
9621,ENSMUSG00000106119.2,Gm43656,processed_pseudogene,434,0,0.0,0.0,0.0
9622,ENSMUSG00000065248.3,Gm22293,snoRNA,109,0,0.0,0.0,0.0
9623,ENSMUSG00000106245.2,Gm43824,lncRNA,2588,0,0.0,0.0,0.0
9624,ENSMUSG00000105527.2,4933424H11Rik,lncRNA,2018,0,0.0,0.0,0.0
9625,ENSMUSG00000106029.2,Gm4410,transcribed_processed_pseudogene,686,0,0.0,0.0,0.0
9626,ENSMUSG00000074236.4,Gm9387,processed_pseudogene,1320,0,0.0,0.0,0.0
9627,ENSMUSG00000099640.2,Gm28543,lncRNA,509,0,0.0,0.0,0.0
9628,ENSMUSG00000028023.17,Pitx2,protein_coding,4726,0,0.0,0.0,0.0
9629,ENSMUSG00000098515.2,Gm27195,lncRNA,681,0,0.0,0.0,0.0
9630,ENSMUSG00000106078.2,Gm43697,TEC,2581,0,0.0,0.0,0.0
9631,ENSMUSG00000028024.15,Enpep,protein_coding,4706,0,0.0,0.0,0.0
9632,ENSMUSG00000106417.2,Gm42628,processed_pseudogene,764,0,0.0,0.0,0.0
9633,ENSMUSG00000105166.2,Gm42629,TEC,1102,0,0.0,0.0,0.0
9634,ENSMUSG00000105278.2,Gm42630,TEC,3448,0,0.0,0.0,0.0
9635,ENSMUSG00000105712.2,Gm5712,processed_pseudogene,1043,0,0.0,0.0,0.0
9636,ENSMUSG00000106258.2,Rpl7a-ps7,processed_pseudogene,776,0,0.0,0.0,0.0
9637,ENSMUSG00000105837.5,Gm35986,lncRNA,787,0,0.0,0.0,0.0
9638,ENSMUSG00000041220.11,Elovl6,protein_coding,6431,20,3.1099362463069506,76.18214832456906,6.2701952959842915
9639,ENSMUSG00000106092.2,Gm43072,TEC,1671,0,0.0,0.0,0.0
9640,ENSMUSG00000028017.8,Egf,protein_coding,11275,0,0.0,0.0,0.0
9641,ENSMUSG00002075346.1,ENSMUSG00002075346,miRNA,109,0,0.0,0.0,0.0
9642,ENSMUSG00000106120.2,Gm42697,lncRNA,4092,0,0.0,0.0,0.0
9643,ENSMUSG00000105596.2,Gm42650,lncRNA,575,0,0.0,0.0,0.0
9644,ENSMUSG00000105960.2,6330410L21Rik,lncRNA,3871,0,0.0,0.0,0.0
